index,x,y,z
508,12.760000000000002,5.780000000000001,1.0
509,12.920000000000002,5.9399999999999995,1.0
510,13.080000000000002,5.9399999999999995,1.0
511,13.240000000000002,6.1,1.0
512,13.400000000000002,6.1,1.0
513,13.559999999999999,6.26,1.0
514,13.8,6.3,1.0
515,-5.48,-4.779999999999999,1.0
516,-5.32,-4.62,1.0
517,-5.16,-4.46,1.0
518,-5.0,-4.3,1.0
519,-4.84,-4.140000000000001,1.0
520,-4.68,-3.98,1.0
521,-4.52,-3.82,1.0
522,-4.36,-3.66,1.0
523,-4.2,-3.5,1.0
524,-4.04,-3.34,1.0
525,-3.88,-3.1799999999999997,1.0
526,-3.7199999999999998,-3.0199999999999996,1.0
527,-3.5599999999999996,-2.8600000000000003,1.0
528,-3.3999999999999995,-2.7,1.0
529,-3.24,-2.54,1.0
530,-3.08,-2.38,1.0
531,-2.92,-2.2199999999999998,1.0
532,-2.76,-2.0599999999999996,1.0
533,-2.5999999999999996,-1.8999999999999995,1.0
534,-2.4399999999999995,-1.7400000000000002,1.0
535,-2.2800000000000002,-1.58,1.0
536,-2.12,-1.42,1.0
537,-1.96,-1.2599999999999998,1.0
538,-1.7999999999999998,-1.0999999999999996,1.0
539,-1.6399999999999997,-0.9399999999999995,1.0
540,-1.4799999999999995,-0.7800000000000002,1.0
541,-1.3200000000000003,-0.6200000000000001,1.0
542,-1.1600000000000001,-0.45999999999999996,1.0
543,-1.0,-0.45999999999999996,1.0
544,-0.8399999999999999,-0.2999999999999998,1.0
545,-0.6799999999999997,-0.13999999999999968,1.0
546,-0.5199999999999996,0.020000000000000462,1.0
547,-0.35999999999999943,0.17999999999999972,1.0
548,-0.1999999999999993,0.33999999999999986,1.0
549,-0.03999999999999915,0.5,1.0
550,0.120000000000001,0.6600000000000001,1.0
551,0.27999999999999936,0.6600000000000001,1.0
552,0.4399999999999995,0.6600000000000001,1.0
553,0.5999999999999996,0.6600000000000001,1.0
554,0.7599999999999998,0.6600000000000001,1.0
555,0.9199999999999999,0.6600000000000001,1.0
556,1.08,0.6600000000000001,1.0
557,1.2400000000000002,0.6600000000000001,1.0
558,1.4000000000000004,0.6600000000000001,1.0
559,1.5600000000000005,0.6600000000000001,1.0
560,1.7200000000000006,0.8200000000000003,1.0
561,1.8800000000000008,0.8200000000000003,1.0
562,2.040000000000001,0.9800000000000004,1.0
563,2.200000000000001,0.9800000000000004,1.0
