time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,controller_mode,safety_active,event_code,return_ref_x,return_ref_y,return_ref_z
13.75,-3.2837790054106534e-11,5.407988890375542e-11,15.058820017668403,0.0,0.0,15.0,3.5014639199127707e-12,5.068927634068655e-12,9.62743016891629e-11,15.096527993769268,-15.096527993107376,15.096527993805335,-15.096527993106509,1.0,0.0,10.0,3.2837790054106534e-11,-5.407988890375542e-11,-0.05882001766840261
13.76,-3.264227878700725e-11,5.3431719489157915e-11,15.054344802959356,0.0,0.0,15.0,3.2536946136938756e-12,4.909456796167574e-12,9.537778896537503e-11,15.092579586818132,-15.092579586163088,15.092579586853079,-15.092579586160793,1.0,0.0,10.0,3.264227878700725e-11,-5.3431719489157915e-11,-0.054344802959356286
13.77,-3.2441275259014883e-11,5.277987011013001e-11,15.050008582562956,0.0,0.0,15.0,3.0105228645090347e-12,4.760174345438837e-12,9.44038087275405e-11,15.085711726518884,-15.085711725871075,15.085711726552379,-15.085711725867224,1.0,0.0,10.0,3.2441275259014883e-11,-5.277987011013001e-11,-0.05000858256295615
13.780000000000001,-3.2234954724532376e-11,5.2124646011303155e-11,15.045810460438865,0.0,0.0,15.0,2.772527664486529e-12,4.6210429679618356e-12,9.336912845637542e-11,15.076192277344465,-15.076192276704266,15.07619227737623,-15.076192276698563,1.0,0.0,10.0,3.2234954724532376e-11,-5.2124646011303155e-11,-0.045810460438865164
13.790000000000001,-3.202348348219375e-11,5.146630630491327e-11,15.041749029794543,0.0,0.0,15.0,2.541670589349306e-12,4.490427322821403e-12,9.229171054209823e-11,15.064272265993083,-15.064272265360547,15.06427226602284,-15.064272265353043,1.0,0.0,10.0,3.202348348219375e-11,-5.146630630491327e-11,-0.04174902979454309
13.8,-3.180701217610098e-11,5.080509898272797e-11,15.03782251128885,0.0,0.0,15.0,2.321208161386292e-12,4.365639886673396e-12,9.119294579862712e-11,15.050191141914205,-15.050191141288932,15.050191141941662,-15.0501911412802,1.0,0.0,10.0,3.180701217610098e-11,-5.080509898272797e-11,-0.037822511288849725
13.81,-3.158568803151242e-11,5.014127293091025e-11,15.034028823691902,0.0,0.0,15.0,2.112994834706282e-12,4.244855623896672e-12,9.008935727247886e-11,15.034183656745762,-15.034183656127105,15.034183656770619,-15.034183656117953,1.0,0.0,10.0,3.158568803151242e-11,-5.014127293091025e-11,-0.03402882369190152
13.82,-3.135968796634274e-11,4.947505227760065e-11,15.030365545082125,0.0,0.0,15.0,1.9122607244756485e-12,4.130145083376487e-12,8.89728425901978e-11,15.016485529314986,-15.016485528702793,15.016485529337151,-15.016485528693481,1.0,0.0,10.0,3.135968796634274e-11,-4.947505227760065e-11,-0.030365545082124967
13.83,-3.1129117621556535e-11,4.8806684164437246e-11,15.026830098178856,0.0,0.0,15.0,1.7234213732190027e-12,4.017976355359361e-12,8.78665545613464e-11,14.997305862050679,-14.997305861444392,14.997305862069982,-14.997305861435546,1.0,0.0,10.0,3.1129117621556535e-11,-4.8806684164437246e-11,-0.02683009817885562
13.84,-3.089408814641491e-11,4.813640180858625e-11,15.023419674430775,0.0,0.0,15.0,1.5476440393958709e-12,3.906730735778163e-12,8.678035447193072e-11,14.976846712787347,-14.976846712186417,14.976846712803647,-14.976846712178572,1.0,0.0,10.0,3.089408814641491e-11,-4.813640180858625e-11,-0.02341967443077486
13.85,-3.065475621963412e-11,4.746439652659498e-11,15.02013119828988,0.0,0.0,15.0,1.3829343910671018e-12,3.796718813353575e-12,8.57236706532787e-11,14.955310040073943,-14.955310039477805,14.955310040087184,-14.955310039471492,1.0,0.0,10.0,3.065475621963412e-11,-4.746439652659498e-11,-0.020131198289879748
13.86,-3.0411251927019716e-11,4.679086171194656e-11,15.016961486250937,0.0,0.0,15.0,1.2275950429824234e-12,3.688073142008019e-12,8.470247488773734e-11,14.932881114295613,-14.932881113703827,14.932881114305816,-14.932881113699379,1.0,0.0,10.0,3.0411251927019716e-11,-4.679086171194656e-11,-0.01696148625093663
13.870000000000001,-3.016367996411173e-11,4.611599159649618e-11,15.013907281505599,0.0,0.0,15.0,1.080050635768999e-12,3.580880873438895e-12,8.371880643420323e-11,14.909727931343372,-14.909727930755752,14.909727931350654,-14.909727930753123,1.0,0.0,10.0,3.016367996411173e-11,-4.611599159649618e-11,-0.013907281505598945
13.88,-2.991215688379386e-11,4.543995982746305e-11,15.010965216680455,0.0,0.0,15.0,9.373499861835156e-13,3.4760811532767267e-12,8.277180764244173e-11,14.886009326827764,-14.886009326244416,14.88600932683233,-14.886009326243162,1.0,0.0,10.0,2.991215688379386e-11,-4.543995982746305e-11,-0.01096521668045547
13.89,-2.9656825495965656e-11,4.4762940239909675e-11,15.008131667139342,0.0,0.0,15.0,8.011734099217584e-13,3.3710368062854744e-12,8.186153245570505e-11,14.861889579225446,-14.861889578646128,14.861889579227462,-14.861889578646384,1.0,0.0,10.0,2.9656825495965656e-11,-4.4762940239909675e-11,-0.008131667139341658
13.9,-2.939780243965166e-11,4.408507858448173e-11,15.005403193526615,0.0,0.0,15.0,6.666867009138859e-13,3.267925068639876e-12,8.097897965381431e-11,14.837501579236877,-14.837501578661819,14.837501579236665,-14.837501578663144,1.0,0.0,10.0,2.939780243965166e-11,-4.408507858448173e-11,-0.005403193526614558
13.91,-2.913521753106068e-11,4.340651143285748e-11,15.002776281475356,0.0,0.0,15.0,5.303772350677646e-13,3.1678457279247633e-12,8.011248355551965e-11,14.812972396658926,-14.812972396088599,14.812972396656901,-14.812972396090357,1.0,0.0,10.0,2.913521753106068e-11,-4.340651143285748e-11,-0.002776281475355802
13.92,-2.886919140776925e-11,4.272738695061852e-11,15.000247338318534,0.0,0.0,15.0,3.90635709353936e-13,3.071118750240761e-12,7.926299705871973e-11,14.788422132256057,-14.788422131690952,14.78842213225264,-14.788422131692458,1.0,0.0,10.0,2.886919140776925e-11,-4.272738695061852e-11,-0.0002473383185339628
13.93,-2.8599826869134253e-11,4.204788250077816e-11,14.997812650432651,0.0,0.0,15.0,2.4949633964774967e-13,2.9764879990208496e-12,7.845576945562225e-11,14.763967449724545,-14.763967449164804,14.763967449720061,-14.763967449165564,1.0,0.0,10.0,2.8599826869134253e-11,-4.204788250077816e-11,0.002187349567348562
13.94,-2.8327260472220673e-11,4.1368111603638765e-11,14.995468787944484,0.0,0.0,15.0,1.0361551096794304e-13,2.8853393482196047e-12,7.767889720086179e-11,14.739701828341753,-14.739701827787625,14.739701828336566,-14.739701827787114,1.0,0.0,10.0,2.8327260472220673e-11,-4.1368111603638765e-11,0.0045312120555163204
13.950000000000001,-2.8051618870119096e-11,4.068820581261556e-11,14.993212302203967,0.0,0.0,15.0,-4.7736701288004244e-14,2.7979915672141035e-12,7.693748082322672e-11,14.715712617756587,-14.71571261720815,14.715712617751015,-14.715712617206007,1.0,0.0,10.0,2.8051618870119096e-11,-4.068820581261556e-11,0.006787697796033498
13.96,-2.7772998426294085e-11,4.000833003696388e-11,14.991039633775538,0.0,0.0,15.0,-2.0435465306887137e-13,2.714388551533214e-12,7.624249955469341e-11,14.692083253750916,-14.692083253208152,14.692083253745226,-14.692083253203988,1.0,0.0,10.0,2.7772998426294085e-11,-4.000833003696388e-11,0.00896036622446239
13.97,-2.7491492271972874e-11,3.9328653875349775e-11,14.988947304374982,0.0,0.0,15.0,-3.6526455177128334e-13,2.634276481511473e-12,7.560918171186367e-11,14.668887733416328,-14.668887732879059,14.668887733410704,-14.668887732872504,1.0,0.0,10.0,2.7491492271972874e-11,-3.9328653875349775e-11,0.011052695625018316
13.98,-2.720721469762105e-11,3.864932590711547e-11,14.986932092081533,0.0,0.0,15.0,-5.288642901293003e-13,2.557359642845037e-12,7.505559711558977e-11,14.6461856445751,-14.646185644042728,14.646185644569584,-14.646185644033746,1.0,0.0,10.0,2.720721469762105e-11,-3.864932590711547e-11,0.013067907918467014
13.99,-2.6920262969561058e-11,3.79705174071107e-11,14.98499081398242,0.0,0.0,15.0,-6.924157710599184e-13,2.4829553950661725e-12,7.460646123503631e-11,14.624030204585047,-14.62403020405653,14.624030204579514,-14.624030204045374,1.0,0.0,10.0,2.6920262969561058e-11,-3.79705174071107e-11,0.015009186017579168
14.0,-2.663071987382679e-11,3.729238133616705e-11,14.98312008327686,0.0,0.0,15.0,-8.575209606205155e-13,2.410660566769007e-12,7.42359500492674e-11,14.602473512488793,-14.602473511963513,14.602473512483279,-14.602473511950283,1.0,0.0,10.0,2.663071987382679e-11,-3.729238133616705e-11,0.016879916723139488
