time,x_ref,y_ref,z_ref,vx_ref,vy_ref,vz_ref,yaw_ref,segment_index
15.85,87.54,28.5360116817,2.2,0,0.658928389981,0,1.57079632679,17
15.9,87.54,28.5670032099,2.2,0,0.576131687243,0,1.57079632679,17
15.95,87.54,28.5932269817,2.2,0,0.469551770563,0,1.57079632679,17
16,87.54,28.6137161093,2.2,0,0.348524107097,0,1.57079632679,17
16.05,87.54,28.6280371605,2.2,0,0.225051440329,0,1.57079632679,17
16.1,87.54,28.6364235218,2.2,0,0.113803790073,0,1.57079632679,17
16.15,87.54,28.6399087629,2.2,0,0.0321184524717,0,1.57079632679,17
16.2,87.54,28.64046,2.2,0,0,0,1.57079632679,17
16.25,87.5394487629,28.6410112371,2.2,-0.0321184524717,0.0321184524717,0,2.35619449019,18
16.3,87.5359635218,28.6444964782,2.2,-0.113803790073,0.113803790073,0,2.35619449019,18
16.35,87.5275771605,28.6528828395,2.2,-0.225051440329,0.225051440329,0,2.35619449019,18
16.4,87.5132561093,28.6672038907,2.2,-0.348524107098,0.348524107097,0,2.35619449019,18
16.45,87.4927669817,28.6876930183,2.2,-0.469551770563,0.469551770563,0,2.35619449019,18
16.5,87.4665432099,28.7139167901,2.2,-0.576131687243,0.576131687243,0,2.35619449019,18
16.55,87.4355516817,28.7449083183,2.2,-0.658928389981,0.658928389981,0,2.35619449019,18
16.6,87.4011593761,28.7793006239,2.2,-0.711273687954,0.711273687954,0,2.35619449019,18
16.65,87.365,28.81546,2.2,-0.729166666667,0.729166666667,0,2.35619449019,18
16.7,87.3288406239,28.8516193761,2.2,-0.711273687954,0.711273687954,0,2.35619449019,18
16.75,87.2944483183,28.8860116817,2.2,-0.658928389981,0.658928389981,0,2.35619449019,18
16.8,87.2634567901,28.9170032099,2.2,-0.576131687243,0.576131687243,0,2.35619449019,18
16.85,87.2372330183,28.9432269817,2.2,-0.469551770563,0.469551770563,0,2.35619449019,18
16.9,87.2167438907,28.9637161093,2.2,-0.348524107098,0.348524107097,0,2.35619449019,18
16.95,87.2024228395,28.9780371605,2.2,-0.225051440329,0.225051440329,0,2.35619449019,18
17,87.1940364782,28.9864235218,2.2,-0.113803790073,0.113803790073,0,2.35619449019,18
17.05,87.1905512371,28.9899087629,2.2,-0.0321184524717,0.0321184524717,0,2.35619449019,18
17.1,87.19,28.99046,2.2,0,0,0,2.35619449019,18
17.15,87.1894487629,28.9910112371,2.2,-0.0321184524717,0.0321184524717,0,2.35619449019,19
17.2,87.1859635218,28.9944964782,2.2,-0.113803790073,0.113803790073,0,2.35619449019,19
17.25,87.1775771605,29.0028828395,2.2,-0.225051440329,0.225051440329,0,2.35619449019,19
17.3,87.1632561093,29.0172038907,2.2,-0.348524107097,0.348524107097,0,2.35619449019,19
17.35,87.1427669817,29.0376930183,2.2,-0.469551770563,0.469551770563,0,2.35619449019,19
17.4,87.1165432099,29.0639167901,2.2,-0.576131687243,0.576131687243,0,2.35619449019,19
17.45,87.0855516817,29.0949083183,2.2,-0.658928389981,0.658928389981,0,2.35619449019,19
17.5,87.0511593761,29.1293006239,2.2,-0.711273687954,0.711273687954,0,2.35619449019,19
17.55,87.015,29.16546,2.2,-0.729166666667,0.729166666667,0,2.35619449019,19
17.6,86.9788406239,29.2016193761,2.2,-0.711273687954,0.711273687954,0,2.35619449019,19
17.65,86.9444483183,29.2360116817,2.2,-0.658928389981,0.658928389981,0,2.35619449019,19
17.7,86.9134567901,29.2670032099,2.2,-0.576131687243,0.576131687243,0,2.35619449019,19
17.75,86.8872330183,29.2932269817,2.2,-0.469551770563,0.469551770563,0,2.35619449019,19
17.8,86.8667438907,29.3137161093,2.2,-0.348524107097,0.348524107097,0,2.35619449019,19
17.85,86.8524228395,29.3280371605,2.2,-0.225051440329,0.225051440329,0,2.35619449019,19
17.9,86.8440364782,29.3364235218,2.2,-0.113803790073,0.113803790073,0,2.35619449019,19
17.95,86.8405512371,29.3399087629,2.2,-0.0321184524717,0.0321184524717,0,2.35619449019,19
18,86.84,29.34046,2.2,0,0,0,2.35619449019,19
18.05,86.8394487629,29.3410112371,2.2,-0.0321184524717,0.0321184524717,0,2.35619449019,20
18.1,86.8359635218,29.3444964782,2.2,-0.113803790073,0.113803790073,0,2.35619449019,20
18.15,86.8275771605,29.3528828395,2.2,-0.225051440329,0.225051440329,0,2.35619449019,20
18.2,86.8132561093,29.3672038907,2.2,-0.348524107097,0.348524107097,0,2.35619449019,20
18.25,86.7927669817,29.3876930183,2.2,-0.469551770563,0.469551770563,0,2.35619449019,20
18.3,86.7665432099,29.4139167901,2.2,-0.576131687243,0.576131687243,0,2.35619449019,20
18.35,86.7355516817,29.4449083183,2.2,-0.658928389981,0.658928389981,0,2.35619449019,20
