time,x_ref,y_ref,z_ref,yaw_ref,wind_force_x_n,wind_force_y_n,wind_force_z_n,acc_residual_raw_x_m_s2,acc_residual_raw_y_m_s2,acc_residual_raw_z_m_s2,disturbance_hat_x_m_s2,disturbance_hat_y_m_s2,disturbance_hat_z_m_s2,disturbance_comp_x_m_s2,disturbance_comp_y_m_s2,disturbance_comp_z_m_s2,acc_residual_after_comp_x_m_s2,acc_residual_after_comp_y_m_s2,acc_residual_after_comp_z_m_s2,controller_mode,disturbance_type
0.8,0.70454846655018,0.7912616063657678,2.0,0.7670494177643449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.81,0.7129643759942582,0.7993489527489109,2.0,0.7639217745564091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.82,0.7213658479340859,0.8073715523039241,2.0,0.7607338367266442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.83,0.7297527122401433,0.8153287552046298,2.0,0.7574846387638456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.84,0.7381247990787148,0.8232199169219439,2.0,0.7541731920274132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.85,0.746481938915328,0.8310443982760816,2.0,0.7507984842962473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.86,0.754823962518187,0.8388015654883312,2.0,0.7473594793142729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.87,0.7631507009615986,0.8464907902323896,2.0,0.7438551163332769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.88,0.771461985629394,0.854111449685257,2.0,0.7402843096538178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.89,0.7797576482183428,0.8616629265776838,2.0,0.7366459481650546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.9,0.7880375207415609,0.869144609244171,2.0,0.7329388948844314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.91,0.7963014355319127,0.8765558916725129,2.0,0.7291619864982515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.92,0.8045492252454061,0.883896173552885,2.0,0.7253140329042812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.93,0.8127807228645811,0.8911648603264681,2.0,0.7213938167576389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.94,0.8209957617018923,0.8983613632336079,2.0,0.7174000930213489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.95,0.829194175403084,0.9054850993615035,2.0,0.713331588523064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.96,0.8373757979505589,0.9125354916914235,2.0,0.70918700151962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.97,0.8455404636667402,0.9195119691454439,2.0,0.7049650012712159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.98,0.8536880072174257,0.9264139666327053,2.0,0.700664227627199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.99,0.8618182636151372,0.933240925095185,2.0,0.6962832906255959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
1.0,0.8699310682224605,0.93999229155298,2.0,0.691820770108722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
1.01,0.8780262567553794,0.9466675191490987,2.0,0.6872752153574084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
1.02,0.8861036652866027,0.9532660671937554,2.0,0.6826451447465937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
1.03,0.8941631302488838,0.9597874012081661,2.0,0.6779290454252604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
1.04,0.9022044884383326,0.9662309929678413,2.0,0.6731253730239403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
1.05,0.9102275770177205,0.9725963205453716,2.0,0.6682325513932734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
1.06,0.918232233519778,0.9788828683527033,2.0,0.6632489723773795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
1.07,0.9262182958504843,0.9850901271829011,2.0,0.6581729956260983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
1.08,0.9341856022923504,0.9912175942513937,2.0,0.6530029484504596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
1.09,0.9421339915076928,0.9972647732366987,2.0,0.6477371257260798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
1.1,0.9500633025419016,1.0032311743206246,2.0,0.6423737898495205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
1.11,0.9579733748266995,1.0091163142279458,2.0,0.6369111707530196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
1.12,0.9658640481833929,1.0149197162655472,2.0,0.6313474659833772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
1.13,0.9737351628261156,1.0206409103610368,2.0,0.6256808408511957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
1.14,0.9815865593650658,1.0262794331008214,2.0,0.61990942865708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
1.15,0.9894180788097312,1.0318348277676415,2.0,0.61403133100186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
1.16,0.9972295625721112,1.0373066443775665,2.0,0.6080446181883379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
1.17,1.005020852469926,1.0426944397164428,2.0,0.6019473297225532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
1.18,1.012791790729822,1.0479977773757938,2.0,0.5957374749230389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
1.19,1.0205422199905645,1.0532162277881685,2.0,0.5894130336470514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
1.2,1.0282719833062264,1.058349368261937,2.0,0.5829719571432722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
1.21,1.0359809241493638,1.063396783015527,2.0,0.5764121690410132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
1.22,1.0436688864141888,1.0683580632111034,2.0,0.5697315664864803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
1.23,1.051335714419728,1.0732328069876829,2.0,0.5629280214372047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
