time,eta1,eta2,eta3,eta4,fault_active,controller_mode,desired_thrust,desired_roll_moment,desired_pitch_moment,desired_yaw_moment,no_realloc_motor_1,no_realloc_motor_2,no_realloc_motor_3,no_realloc_motor_4,realloc_motor_1,realloc_motor_2,realloc_motor_3,realloc_motor_4,no_realloc_wrench_error,realloc_wrench_error,no_realloc_torque_error,realloc_torque_error
10.4,1.0,1.0,1.0,1.0,0,NORMAL,1.738358940577937,-0.03352700003517045,0.025529834453840782,-0.011923335726240106,0.2532052228577456,0.5450580406149985,0.4172519853272212,0.5228436917779716,0.2532052228577456,0.5450580406149985,0.4172519853272212,0.5228436917779716,2.2234932769299746e-16,2.2234932769299746e-16,1.1636878843346593e-17,1.1636878843346593e-17
10.41,1.0,1.0,1.0,1.0,0,NORMAL,1.7372525206453273,-0.03373981849352834,0.025803050017466633,-0.011957175029542551,0.25197157642765067,0.5449795449576056,0.41736843340263696,0.5229329658574341,0.25197157642765067,0.5449795449576056,0.41736843340263696,0.5229329658574341,2.267715563748622e-16,2.267715563748622e-16,4.606009340377052e-17,4.606009340377052e-17
10.42,1.0,1.0,1.0,1.0,0,NORMAL,1.7361764448369144,-0.03393632067506886,0.02606827946457917,-0.01198124237607147,0.2508607023257885,0.5448156326910598,0.41754014715814414,0.5229599626619219,0.2508607023257885,0.5448156326910598,0.41754014715814414,0.5229599626619219,2.353093408709757e-17,2.353093408709757e-17,2.353093408709757e-17,2.353093408709757e-17
10.43,1.0,1.0,1.0,1.0,0,NORMAL,1.7351312335334101,-0.03411641155308075,0.02632544070591889,-0.01199551809687752,0.24987314054965148,0.5445662520339455,0.4177671746024284,0.5229246663473848,0.24987314054965148,0.5445662520339455,0.4177671746024284,0.5229246663473848,4.734873626495502e-17,4.734873626495502e-17,4.734873626495502e-17,4.734873626495502e-17
10.44,1.0,1.0,1.0,1.0,0,NORMAL,1.734117392189726,-0.034280004037213506,0.026574454149358714,-0.011999990525181022,0.2490093461895727,0.5442314217126272,0.4180495078189399,0.5228271164685862,0.2490093461895727,0.5442314217126272,0.4180495078189399,0.5228271164685862,2.3338317471424865e-17,2.3338317471424865e-17,2.3338317471424865e-17,2.3338317471424865e-17
10.45,1.0,1.0,1.0,1.0,0,NORMAL,1.7331354110905386,-0.03442701901559351,0.02681524272453791,-0.0119946560059066,0.24826968919545256,0.5438112310038781,0.41838708291803994,0.522667407973168,0.24826968919545256,0.5438112310038781,0.41838708291803994,0.522667407973168,2.2444399102644434e-16,2.2444399102644434e-16,3.273069708340169e-17,3.273069708340169e-17
10.46,1.0,1.0,1.0,1.0,0,NORMAL,1.7321857651131933,-0.03455738539308188,0.0270477319067156,-0.011979518898670265,0.24765445420632748,0.5433058397205036,0.4187797800390982,0.522445691147264,0.24765445420632748,0.5433058397205036,0.4187797800390982,0.522445691147264,2.2727525813773323e-16,2.2727525813773323e-16,4.8479236640649044e-17,4.8479236640649044e-17
10.47,1.0,1.0,1.0,1.0,0,NORMAL,1.7312689134980581,-0.03467104012565528,0.027271849739836367,-0.01195459157421655,0.24716384044286033,0.5427154781399566,0.41922742340255925,0.522162171512682,0.24716384044286033,0.5427154781399566,0.41922742340255925,0.522162171512682,3.345813473843216e-17,3.345813473843216e-17,3.345813473843216e-17,3.345813473843216e-17
10.48,1.0,1.0,1.0,1.0,0,NORMAL,1.730385299626438,-0.0347679282508936,0.027487526858800862,-0.011919894404308556,0.246797961662796,0.5420404468759762,0.41972978141194717,0.5218171096757186,0.246797961662796,0.5420404468759762,0.41972978141194717,0.5218171096757186,3.222105849667643e-17,3.222105849667643e-17,3.222105849667643e-17,3.222105849667643e-17
10.49,1.0,1.0,1.0,1.0,0,NORMAL,1.72953535080616,-0.034848002914559265,0.027694696510934487,-0.011875455745079196,0.2465568461793609,0.5412811166933454,0.4202865668057325,0.5214108211277211,0.2465568461793609,0.5412811166933454,0.4202865668057325,0.5214108211277211,2.110382192020081e-17,2.110382192020081e-17,2.110382192020081e-17,2.110382192020081e-17
10.5,1.0,1.0,1.0,1.0,0,NORMAL,1.7287194780649306,-0.03491122539325553,0.027893294576647555,-0.011821311913857283,0.24644043694255646,0.5404379282658878,0.4208974368589541,0.5209436759975323,0.24644043694255646,0.5404379282658878,0.4208974368589541,0.5209436759975323,4.473434455583162e-17,4.473434455583162e-17,4.473434455583162e-17,4.473434455583162e-17
10.51,1.0,1.0,1.0,1.0,0,NORMAL,1.7279380759515683,-0.03495756511315272,0.028083259589280426,-0.011757507159487287,0.24644859168322975,0.5395113918778865,0.42156199363443303,0.520416098756019,0.24644859168322975,0.5395113918778865,0.42156199363443303,0.520416098756019,2.2253196106415096e-16,2.2253196106415096e-16,1.471961680016039e-17,1.471961680016039e-17
10.52,1.0,1.0,1.0,1.0,0,NORMAL,1.7271915223452003,-0.0349869996647735,0.028264532754127762,-0.011684093626167156,0.24658108311976645,0.5385020870691455,0.422279784283381,0.5198285678729074,0.24658108311976645,0.5385020870691455,0.422279784283381,0.5198285678729074,4.9826138410844876e-17,4.9826138410844876e-17,4.9826138410844876e-17,4.9826138410844876e-17
10.53,1.0,1.0,1.0,1.0,0,NORMAL,1.7264801782725263,-0.03499951481382991,0.02843705796663545,-0.01160113131083366,0.24683759922720472,0.53741066222396,0.4230503013951641,0.5191816154261976,0.24683759922720472,0.53741066222396,0.4230503013951641,0.5191816154261976,2.221800888627857e-16,2.221800888627857e-16,7.757919228897728e-18,7.757919228897728e-18
10.54,1.0,1.0,1.0,1.0,0,NORMAL,1.7258043877332272,-0.03499510450810694,0.028600781829765245,-0.011508688014130106,0.24721774356851112,0.5362378341043101,0.42387298339593393,0.518475826664472,0.24721774356851112,0.5362378341043101,0.42387298339593393,0.518475826664472,2.2215299868541707e-17,2.2215299868541707e-17,2.2215299868541707e-17,2.2215299868541707e-17
10.55,1.0,1.0,1.0,1.0,0,NORMAL,1.7251644775336106,-0.03497377088038928,0.02875565367052127,-0.011406839284996547,0.2477210356877223,0.534984387327635,0.42474721499580714,0.5177118395224461,0.2477210356877223,0.534984387327635,0.42474721499580714,0.5177118395224461,2.2291702902813142e-16,2.2291702902813142e-16,1.97026712507607e-17,1.97026712507607e-17
