time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,wind_force_x_n,wind_force_y_n,wind_force_z_n
54.39,3.4606976701551404,-6.653505543658705,9.980653379138896,3.3702953055838494,-6.480135639389884,10.0,0.006934796170752833,0.0036160945828516413,0.0,0.5439940182765803,0.507157407118052,0.5347848654869483,0.5163665599076841,0.0,0.0,0.0
54.4,3.4550558363674084,-6.644333726503084,9.980699795038975,3.3643790589570557,-6.470559615694444,10.0,0.006950964432345615,0.0036270710964141097,0.0,0.5444229126355294,0.506934785160659,0.5350508807668118,0.5163068170293766,0.0,0.0,0.0
54.41,3.4494136314622335,-6.6351510607356134,9.980747774245105,3.3584614841266913,-6.460973374102162,10.0,0.006967107465338067,0.0036380858934216853,0.0,0.544850826576892,0.5067130044891967,0.5353163710549681,0.5162474600111205,0.0,0.0,0.0
54.42,3.4437710416955616,-6.625957534900731,9.980797312870994,3.35254258342892,-6.451376929751023,10.0,0.00698322420598835,0.0036491383306656647,0.0,0.5452777429155554,0.5064920797636471,0.5355813271275783,0.5161884955516242,0.0,0.0,0.0
54.43,3.4381280532609404,-6.616753137606272,9.980848406904041,3.3466223592004356,-6.441770297795129,10.0,0.0069993135924457306,0.003660227762420192,0.0,0.5457036445127004,0.5062720255994355,0.5358457397843842,0.5161299303277517,0.0,0.0,0.0
54.44,3.432484652290598,-6.607537857526613,9.980901052205658,3.3407008137784446,-6.432153493404656,10.0,0.007015374564878272,0.0036713535404861376,0.0,0.546128514276593,0.5060528565666671,0.5361095998491116,0.5160717709941486,0.0,0.0,0.0
54.45,3.426840824856445,-6.598311683405849,9.980955244511605,3.3347779495006695,-6.42252653176584,10.0,0.007031406065600372,0.0036825150142310117,0.0,0.5465523351633789,0.5058345871893654,0.5363728981698755,0.5160140241828687,0.0,0.0,0.0
54.46,3.42119655697114,-6.589074604060912,9.981010979432332,3.3288537687053816,-6.412889428080991,10.0,0.007047407039196827,0.003693711530630335,0.0,0.5469750901778704,0.5056172319447138,0.5366356256195812,0.5159566965030029,0.0,0.0,0.0
54.47,3.415551834589117,-6.579826608384717,9.981068252453344,3.3229282737313444,-6.403242197568399,10.0,0.007063376432652717,0.0037049424343109116,0.0,0.547396762374338,0.5054008052622975,0.5368977730963279,0.5158997945403075,0.0,0.0,0.0
54.48,3.409906643607638,-6.570567685349257,9.981127058935558,3.3170014669178416,-6.393584855462344,10.0,0.0070793131954765085,0.0037162070675918635,0.0,0.5478173348572938,0.5051853215233496,0.5371593315238077,0.5158433248568357,0.0,0.0,0.0
54.49,3.4042609698678454,-6.561297824008792,9.981187394115677,3.311073350604699,-6.383917417013115,10.0,0.007095216279827064,0.003727504770525858,0.0,0.5482367907822729,0.5049707950600002,0.5374202918517048,0.5157872939905683,0.0,0.0,0.0
54.5,3.3986147991558036,-6.552017013502867,9.981249253106586,3.3051439271322307,-6.374239897486897,10.0,0.007111084640638801,0.003738834880942914,0.0,0.5486551133566173,0.5047572401545242,0.537680645056094,0.5157317084550475,0.0,0.0,0.0
54.51,3.39296811720358,-6.5427252430594995,9.981312630897744,3.2992131988412874,-6.364552312165825,10.0,0.007126917235746966,0.003750196734491702,0.0,0.5490722858402505,0.5045446710385965,0.537940382139837,0.51567657473901,0.0,0.0,0.0
54.52,3.38732090969028,-6.533422501998204,9.981377522355581,3.2932811680732144,-6.354854676347902,10.0,0.007142713026012082,0.003761589664682621,0.0,0.5494882915464555,0.5043331018925458,0.5381994941329781,0.5156218993060232,0.0,0.0,0.0
54.53,3.381673162243137,-6.524108779733139,9.981443922223926,3.2873478371699005,-6.345147005347043,10.0,0.007158470975443869,0.003773013002929453,0.0,0.5499031138426445,0.504122546844614,0.5384579720931368,0.5155676885941216,0.0,0.0,0.0
54.54,3.376024860438568,-6.514784065776124,9.981511825124425,3.2814132084737175,-6.335429314492966,10.0,0.0071741900513262995,0.003784466078594022,0.0,0.5503167361511322,0.5039130199702156,0.538715807105903,0.5155139490154448,0.0,0.0,0.0
54.55,3.370375989803234,-6.50544834973975,9.98158122555698,3.2754772843275672,-6.32570161913124,10.0,0.007189869224340413,0.003795948219026677,0.0,0.5507291419499021,0.5037045352912006,0.5389729902852267,0.515460686955876,0.0,0.0,0.0
54.56,3.36472653581514,-6.496101621340416,9.981652117900195,3.2695400670748587,-6.315963934623228,10.0,0.007205507468687529,0.00380745874961125,0.0,0.5511403147733699,0.5034971067751218,0.5392295127738079,0.5154079087746838,0.0,0.0,0.0
54.57,3.359076483904699,-6.486743870401374,9.981724496411827,3.2636015590595195,-6.306216276346057,10.0,0.007221103762212664,0.0038189969938071757,0.0,0.551550238213148,0.5032907483345018,0.5394853657434864,0.5153556208041634,0.0,0.0,0.0
54.58,3.3534258194557998,-6.477375086855746,9.981798355229259,3.2576617626259625,-6.296458659692603,10.0,0.007236657086525718,0.0038305622731934896,0.0,0.5519588959188031,0.503085473826105,0.5397405403956286,0.5153038293492795,0.0,0.0,0.0
54.59,3.3477745278069193,-6.467995260749581,9.981873688369966,3.2517206801191323,-6.286691100071482,10.0,0.007252166427123967,0.003842153907511481,0.0,0.5523662715986142,0.5028812970502115,0.5399950279615136,0.5152525406873121,0.0,0.0,0.0
54.6,3.3421225942521886,-6.458604382244841,9.981950489732004,3.2457783138844754,-6.276913612907002,10.0,0.007267630773513574,0.0038537712147085302,0.0,0.5527723490203235,0.502678231749894,0.5402488197027161,0.5152017610675014,0.0,0.0,0.0
54.61,3.3364700040424955,-6.449202441622414,9.982028753094504,3.239834666267947,-6.267126213639161,10.0,0.007283049119330123,0.0038654135109819346,0.0,0.5531771120118906,0.5024762916102977,0.5405019069114924,0.5151514967106959,0.0,0.0,0.0
54.62,3.3308167423865522,-6.439789429285058,9.98210847211818,3.233889739615994,-6.257328917723579,10.0,0.00729842046245917,0.0038770801108223376,0.0,0.5535805444622386,0.5022754902579221,0.5407542809111595,0.5151017538090011,0.0,0.0,0.0
54.63,3.3251627944520368,-6.430365335760461,9.98218964034583,3.2279435362755944,-6.2475217406315355,10.0,0.0073137438051570315,0.0038887703270576958,0.0,0.5539826303219983,0.5020758412599073,0.5410059330564756,0.5150525385254301,0.0,0.0,0.0
