time,x_raw_ref,y_raw_ref,z_raw_ref,x_safe_ref,y_safe_ref,z_safe_ref,yaw_ref,raw_obstacle_distance_m,safe_obstacle_distance_m,altitude_filter_active,obstacle_filter_active,velocity_filter_active,safety_active,controller_mode
3.5,1.9678955078125,0.0,0.2652496337890625,1.9658228393565542,0.0,0.8,0.0,2.422762784896166,2.3409854828002183,1,0,0,1,SAFETY_PROTECTION
3.52,1.971362201599998,0.0,0.2636029542400009,1.9694234248147926,0.0,0.8,0.0,2.419801311878195,2.337393242830156,1,0,0,1,SAFETY_PROTECTION
3.54,1.9745881558874983,0.0,0.26207062595343833,1.9727805000120513,0.0,0.8,0.0,2.417047268233373,2.334043967139841,1,0,0,1,SAFETY_PROTECTION
3.56,1.9775790388000019,0.0,0.2606499565699991,1.9758995502242191,0.0,0.8,0.0,2.414495440563987,2.3309321794232845,1,0,0,1,SAFETY_PROTECTION
3.58,1.9803408649624998,0.0,0.25933808914281253,1.9787864048041015,0.0,0.8,0.0,2.4121403571219164,2.328052060458855,1,0,0,1,SAFETY_PROTECTION
3.6,1.9828800000000033,0.0,0.2581319999999985,1.9814472416814377,0.0,0.8,0.0,2.4099762829338016,2.3253974436115326,1,0,0,1,SAFETY_PROTECTION
3.62,1.9852031650375022,0.0,0.2570284966071865,1.9838885918628797,0.0,0.8,0.0,2.407997214752895,2.3229618103333918,1,0,0,1,SAFETY_PROTECTION
3.64,1.9873174412,0.0,0.25602421543,1.986117343932008,0.0,0.8,0.0,2.4061968758489956,2.3207382856623524,1,0,0,1,SAFETY_PROTECTION
3.66,1.9892302741125016,0.0,0.2551156197965617,1.9881407485493288,0.0,0.8,0.0,2.404568710649541,2.318719633719358,1,0,0,1,SAFETY_PROTECTION
3.68,1.9909494783999993,0.0,0.2542989977600003,1.9899664229522647,0.0,0.8,0.0,2.4031058792461812,2.3168982532041187,1,0,0,1,SAFETY_PROTECTION
3.7,1.9924832421875003,0.0,0.2535704599609374,1.9916023554551678,0.0,0.8,0.0,2.4018012517825755,2.3152661728895234,1,0,0,1,SAFETY_PROTECTION
3.72,1.993840131599999,0.0,0.2529259374900005,1.993056909949308,0.0,0.8,0.0,2.4006474027405997,2.3138150471149443,1,0,0,1,SAFETY_PROTECTION
