experiment_id,scene_id,controller_id,priority,status,raw_file,metrics_file,duration_s,position_rmse_m,max_position_error_m,steady_state_error_m,settling_time_s,disturbance_peak_error_m,disturbance_recovery_time_s,overshoot_max_pct,control_energy,control_smoothness,saturation_ratio,constraint_violation_count,total_health_score,final_trackability_score,formation_score,baseline_experiment,rmse_improvement_pct,health_score_delta,quality_status,quality_pass,source,evidence_level,notes
robust_wind_gust_example1_enhanced_pid,robust_wind_gust_example1,enhanced_pid,P1,done,results/raw/robust_wind_gust_example1_enhanced_pid.csv,results/robustness/wind_gust_example1/robust_wind_gust_example1_enhanced_pid/metrics/robust_wind_gust_example1_enhanced_pid.json,50,0.31826,1.29735,0.103207,5.748,0.696234,3.242,4.85626,39941.8,13847.6,,317,55.0045,,,robust_wind_gust_example1_pid_baseline,4.91375,3.01455,pass,True,MWORKS_MCP,real_sysplorer_mcp_robust_wind_gust_ablation,
robust_wind_gust_example1_improved_pid,robust_wind_gust_example1,improved_pid,P1,done,results/raw/robust_wind_gust_example1_improved_pid.csv,results/robustness/wind_gust_example1/robust_wind_gust_example1_improved_pid/metrics/robust_wind_gust_example1_improved_pid.json,50,0.322116,1.3694,0.105651,7.156,0.699255,3.296,4.83202,39972.2,199380,,324,52.1171,,,robust_wind_gust_example1_pid_baseline,3.76157,0.12715,pass,True,MWORKS_MCP,real_sysplorer_mcp_robust_wind_gust_ablation,
robust_wind_gust_example1_l1_residual_sysblock,robust_wind_gust_example1,l1_residual_sysblock,P1,done,results/robustness/wind_gust_example1/robust_wind_gust_example1_l1_residual_sysblock/raw/robust_wind_gust_example1_l1_residual_sysblock.csv,results/robustness/wind_gust_example1/robust_wind_gust_example1_l1_residual_sysblock/metrics/robust_wind_gust_example1_l1_residual_sysblock.json,50,0.278231,1.22366,0.0748068,5.72,0.541739,2.85,4.2946,39952.7,13996.5,,60,55.5377,,,robust_wind_gust_example1_awff_sysblock,12.5676,0.536036,pass,True,MWORKS_MCP,real_sysplorer_mcp_sysblock_l1_residual_wind_ablation,
robust_wind_gust_example1_linear_mpc_sysblock,robust_wind_gust_example1,linear_mpc_sysblock,P1,done,results/robustness/wind_gust_example1/robust_wind_gust_example1_linear_mpc_sysblock/raw/robust_wind_gust_example1_linear_mpc_sysblock.csv,results/robustness/wind_gust_example1/robust_wind_gust_example1_linear_mpc_sysblock/metrics/robust_wind_gust_example1_linear_mpc_sysblock.json,50,0.2588,1.34387,0.0722168,5.76,0.0721415,2.67,4.21795,47685.8,14135.5,,66,55.3882,,,robust_wind_gust_example1_l1_residual_sysblock,6.98394,-0.149564,pass,True,MWORKS_MCP,real_sysplorer_mcp_sysblock_linear_mpc_wind_ablation,
robust_wind_gust_example1_pid_baseline,robust_wind_gust_example1,pid_baseline,P1,done,results/raw/robust_wind_gust_example1_pid_baseline.csv,results/robustness/wind_gust_example1/robust_wind_gust_example1_pid_baseline/metrics/robust_wind_gust_example1_pid_baseline.json,50,0.334706,1.3694,0.1115,7.156,0.753994,3.46,4.97282,39969.9,137860,,324,51.9899,,,,,,pass,True,MWORKS_MCP,real_sysplorer_mcp_robust_wind_gust_ablation,
robust_rotor1_loss15_example1_l1_fault_allocation_sysblock,robust_rotor1_loss15_example1,l1_fault_allocation_sysblock,P1-B,done,results/robustness/rotor1_loss15_example1/robust_rotor1_loss15_example1_l1_fault_allocation_sysblock/raw/robust_rotor1_loss15_example1_l1_fault_allocation_sysblock.csv,results/robustness/rotor1_loss15_example1/robust_rotor1_loss15_example1_l1_fault_allocation_sysblock/metrics/robust_rotor1_loss15_example1_l1_fault_allocation_sysblock.json,50,0.24434,1.22152,0.0829459,5.72,0.0678391,2.73,4.40541,41632.6,14601.7,,60,55.8166,,,robust_rotor1_loss15_example1_l1_residual_sysblock,23.6088,19.0133,pass,True,MWORKS_MCP,real_sysplorer_mcp_sysblock_l1_fault_allocation_rotor_loss_ablation,
robust_rotor1_loss15_example1_l1_multi_fault_isolation_sysblock,robust_rotor1_loss15_example1,l1_multi_fault_isolation_sysblock,P1-B,done,results/robustness/rotor1_loss15_example1/robust_rotor1_loss15_example1_l1_multi_fault_isolation_sysblock/raw/robust_rotor1_loss15_example1_l1_multi_fault_isolation_sysblock.csv,results/robustness/rotor1_loss15_example1/robust_rotor1_loss15_example1_l1_multi_fault_isolation_sysblock/metrics/robust_rotor1_loss15_example1_l1_multi_fault_isolation_sysblock.json,50,0.267917,1.25464,0.140601,8.01,0.110916,4.91,4.62916,41618.8,14207.2,,62,50.9842,,,robust_rotor1_loss15_example1_l1_residual_sysblock,16.2376,14.1808,pass,True,MWORKS_MCP,real_sysplorer_mcp_sysblock_l1_multi_fault_isolation_rotor_loss_ablation,
robust_rotor1_loss15_example1_l1_online_fault_allocation_sysblock,robust_rotor1_loss15_example1,l1_online_fault_allocation_sysblock,P1-B,done,results/robustness/rotor1_loss15_example1/robust_rotor1_loss15_example1_l1_online_fault_allocation_sysblock/raw/robust_rotor1_loss15_example1_l1_online_fault_allocation_sysblock.csv,results/robustness/rotor1_loss15_example1/robust_rotor1_loss15_example1_l1_online_fault_allocation_sysblock/metrics/robust_rotor1_loss15_example1_l1_online_fault_allocation_sysblock.json,50,0.260671,1.25464,0.117032,8.01,0.110916,2.56,4.64613,41616.8,14169.1,,62,51.1439,,,robust_rotor1_loss15_example1_l1_residual_sysblock,18.5031,14.3406,pass,True,MWORKS_MCP,real_sysplorer_mcp_sysblock_l1_online_fault_allocation_rotor_loss_ablation,
robust_rotor1_loss15_example1_linear_mpc_online_fault_allocation_sysblock,robust_rotor1_loss15_example1,linear_mpc_online_fault_allocation_sysblock,P1-B,done,results/robustness/rotor1_loss15_example1/robust_rotor1_loss15_example1_linear_mpc_online_fault_allocation_sysblock/raw/robust_rotor1_loss15_example1_linear_mpc_online_fault_allocation_sysblock.csv,results/robustness/rotor1_loss15_example1/robust_rotor1_loss15_example1_linear_mpc_online_fault_allocation_sysblock/metrics/robust_rotor1_loss15_example1_linear_mpc_online_fault_allocation_sysblock.json,50,0.257553,1.24668,0.114539,7.93,0.103759,2.51,4.61081,41483.2,13097.5,,61,51.349,,,robust_rotor1_loss15_example1_linear_mpc_sysblock,17.9873,14.4605,pass,True,MWORKS_MCP,real_sysplorer_mcp_sysblock_linear_mpc_online_fault_allocation_rotor_loss_ablation,
robust_rotor2_loss15_example1_l1_multi_fault_isolation_sysblock,robust_rotor2_loss15_example1,l1_multi_fault_isolation_sysblock,P1-B,done,results/robustness/rotor2_loss15_example1/robust_rotor2_loss15_example1_l1_multi_fault_isolation_sysblock/raw/robust_rotor2_loss15_example1_l1_multi_fault_isolation_sysblock.csv,results/robustness/rotor2_loss15_example1/robust_rotor2_loss15_example1_l1_multi_fault_isolation_sysblock/metrics/robust_rotor2_loss15_example1_l1_multi_fault_isolation_sysblock.json,50,0.268947,1.25464,0.147132,8.01,0.110916,4.91,4.67961,41602,14147.1,,62,50.9478,,,,,,pass,True,MWORKS_MCP,real_sysplorer_mcp_sysblock_l1_multi_fault_isolation_rotor_loss_ablation,
robust_rotor3_loss15_example1_l1_multi_fault_isolation_sysblock,robust_rotor3_loss15_example1,l1_multi_fault_isolation_sysblock,P1-B,done,results/robustness/rotor3_loss15_example1/robust_rotor3_loss15_example1_l1_multi_fault_isolation_sysblock/raw/robust_rotor3_loss15_example1_l1_multi_fault_isolation_sysblock.csv,results/robustness/rotor3_loss15_example1/robust_rotor3_loss15_example1_l1_multi_fault_isolation_sysblock/metrics/robust_rotor3_loss15_example1_l1_multi_fault_isolation_sysblock.json,50,0.268382,1.25466,0.144931,8.01,0.110914,4.56,4.58342,41622.2,14209.1,,62,50.9618,,,,,,pass,True,MWORKS_MCP,real_sysplorer_mcp_sysblock_l1_multi_fault_isolation_rotor_loss_ablation,
robust_rotor4_loss15_example1_l1_multi_fault_isolation_sysblock,robust_rotor4_loss15_example1,l1_multi_fault_isolation_sysblock,P1-B,done,results/robustness/rotor4_loss15_example1/robust_rotor4_loss15_example1_l1_multi_fault_isolation_sysblock/raw/robust_rotor4_loss15_example1_l1_multi_fault_isolation_sysblock.csv,results/robustness/rotor4_loss15_example1/robust_rotor4_loss15_example1_l1_multi_fault_isolation_sysblock/metrics/robust_rotor4_loss15_example1_l1_multi_fault_isolation_sysblock.json,50,0.269513,1.25464,0.142306,8.02,0.110912,4.56,3.68677,41601.6,14150.9,,62,50.9447,,,,,,pass,True,MWORKS_MCP,real_sysplorer_mcp_sysblock_l1_multi_fault_isolation_rotor_loss_ablation,
sunray150_complete_system_gps_dropout_sysblock,system_gps_dropout,awff_complete_system,P1-B,done,results/system/gps_dropout/sunray150_complete_system_gps_dropout_sysblock/raw/sunray150_complete_system_gps_dropout_sysblock.csv,results/system/gps_dropout/sunray150_complete_system_gps_dropout_sysblock/metrics/sunray150_complete_system_gps_dropout_sysblock.json,1,2.28966,5.12391,1.7794,,,,0,42412.3,2.08028e+07,,168,0,,,,,,pass,True,MWORKS_MCP,real_sysplorer_mcp_complete_system_gps_dropout,
