t,mode_id,mode,minimum_pair_distance_input_m,formation_rmse_input_m,active_agents,failed_mask,safety_corrections,status_code
21.784,4,containment,1.5002388834536464,0.017972658625619475,3.0,0.0,0.0,1.0
21.804,4,containment,1.500347028252846,0.01794871795283376,3.0,0.0,0.0,1.0
21.824,4,containment,1.5003011596496532,0.01793725941017296,3.0,0.0,0.0,1.0
21.844,4,containment,1.500424474152097,0.017926432306389132,3.0,0.0,0.0,1.0
21.864,4,containment,1.500396188206377,0.017925193360964816,3.0,0.0,0.0,1.0
21.884,4,containment,1.5005351851746564,0.017918402447218842,3.0,0.0,0.0,1.0
21.904,4,containment,1.500489113446208,0.017918643830306454,3.0,0.0,0.0,1.0
21.924,4,containment,1.50060677710365,0.017917776206171018,3.0,0.0,0.0,1.0
21.945,4,containment,1.50064341902097,0.01792976061156828,3.0,0.0,0.0,1.0
21.964,4,containment,1.5006734865483067,0.01795853942368328,3.0,0.0,0.0,1.0
21.984,4,containment,1.5006099768538026,0.01799464431590834,3.0,0.0,0.0,1.0
22.004,4,containment,1.5007876747562414,0.018038304208040666,3.0,0.0,0.0,1.0
22.024,4,containment,1.5007336645683858,0.018096001328550784,3.0,0.0,0.0,1.0
22.044,4,containment,1.5009430282610465,0.018167342568184405,3.0,0.0,0.0,1.0
22.064,4,containment,1.5008761815794556,0.018232772540151963,3.0,0.0,0.0,1.0
22.084,4,containment,1.5010443005429355,0.01830159211553622,3.0,0.0,0.0,1.0
22.104,4,containment,1.5009748385477002,0.018358594970178797,3.0,0.0,0.0,1.0
22.124,4,containment,1.5011924666050442,0.018424079728559598,3.0,0.0,0.0,1.0
22.144,4,containment,1.5011806831182513,0.018482892282053034,3.0,0.0,0.0,1.0
22.164,4,containment,1.5014135124734733,0.018550933593201407,3.0,0.0,0.0,1.0
22.184,4,containment,1.5014215654126324,0.0186146343606719,3.0,0.0,0.0,1.0
22.204,4,containment,1.5016218732993252,0.01868077517208181,3.0,0.0,0.0,1.0
22.224,4,containment,1.5016479788130594,0.01875012786442801,3.0,0.0,0.0,1.0
22.244,4,containment,1.5018049336847539,0.018824099058459772,3.0,0.0,0.0,1.0
22.264,4,containment,1.5018271558303053,0.018892735937299506,3.0,0.0,0.0,1.0
22.284,4,containment,1.5019808922922544,0.0189735828177921,3.0,0.0,0.0,1.0
22.304,4,containment,1.5020129075534963,0.019038592310982393,3.0,0.0,0.0,1.0
22.324,4,containment,1.5021318657359053,0.019106277964862545,3.0,0.0,0.0,1.0
22.344,4,containment,1.5021553018815714,0.01917265636881636,3.0,0.0,0.0,1.0
22.365,4,containment,1.5023098875699117,0.019240222746970074,3.0,0.0,0.0,1.0
22.384,4,containment,1.50240907274122,0.01930507934914059,3.0,0.0,0.0,1.0
22.404,4,containment,1.5025357445947032,0.019372250284534376,3.0,0.0,0.0,1.0
22.424,4,containment,1.5025651183171038,0.01942794512052512,3.0,0.0,0.0,1.0
22.444,4,containment,1.5026300118858351,0.019497754447857018,3.0,0.0,0.0,1.0
22.464,4,containment,1.502661694744096,0.01955844871590685,3.0,0.0,0.0,1.0
22.484,4,containment,1.5027343152350885,0.019628863355947983,3.0,0.0,0.0,1.0
22.504,4,containment,1.5027638767237081,0.019699276923430046,3.0,0.0,0.0,1.0
22.524,4,containment,1.5028890545416331,0.019779861589601353,3.0,0.0,0.0,1.0
22.544,4,containment,1.5029437579525882,0.01985197485534615,3.0,0.0,0.0,1.0
22.564,4,containment,1.5030494484092203,0.01993569125620005,3.0,0.0,0.0,1.0
22.584,4,containment,1.5031176285538084,0.020009034498833657,3.0,0.0,0.0,1.0
22.604,4,containment,1.5032657884183211,0.02008764908147572,3.0,0.0,0.0,1.0
22.624,4,containment,1.5033270906228442,0.02015260367800803,3.0,0.0,0.0,1.0
22.644,4,containment,1.5034261218599796,0.0202261199517897,3.0,0.0,0.0,1.0
22.664,4,containment,1.503465862734912,0.020277987728257,3.0,0.0,0.0,1.0
22.685,4,containment,1.503592702019531,0.02034576568529299,3.0,0.0,0.0,1.0
22.704,4,containment,1.5036540869334911,0.020396368535882288,3.0,0.0,0.0,1.0
22.724,4,containment,1.5038110604288721,0.020452515963659317,3.0,0.0,0.0,1.0
22.744,4,containment,1.5038884259831813,0.020507142359333146,3.0,0.0,0.0,1.0
22.764,4,containment,1.504005852205775,0.020571897247929936,3.0,0.0,0.0,1.0
22.784,4,containment,1.5040835652709228,0.02062887903061332,3.0,0.0,0.0,1.0
22.804,4,containment,1.5042241656920892,0.020704678217008672,3.0,0.0,0.0,1.0
22.824,4,containment,1.5042989050068654,0.02076035813268977,3.0,0.0,0.0,1.0
22.844,4,containment,1.504443330158859,0.020837376445114117,3.0,0.0,0.0,1.0
22.864,4,containment,1.504593324666752,0.020897238521385007,3.0,0.0,0.0,1.0
22.884,4,containment,1.504731010681113,0.02098055671510425,3.0,0.0,0.0,1.0
22.904,4,containment,1.5048856649442832,0.021042875793126452,3.0,0.0,0.0,1.0
22.924,4,containment,1.5050140146181423,0.02113046433617241,3.0,0.0,0.0,1.0
22.944,4,containment,1.5051640339910015,0.021193734562310294,3.0,0.0,0.0,1.0
22.964,4,containment,1.5052229937123451,0.021263636052325428,3.0,0.0,0.0,1.0
22.984,4,containment,1.5053475208336937,0.02132064002727964,3.0,0.0,0.0,1.0
23.004,4,containment,1.505397501479788,0.021391913568710594,3.0,0.0,0.0,1.0
23.024,4,containment,1.5055937745114811,0.021438368832089997,3.0,0.0,0.0,1.0
23.044,4,containment,1.5056561893847453,0.021499819909689882,3.0,0.0,0.0,1.0
23.064,4,containment,1.5058160836288315,0.021538381357270132,3.0,0.0,0.0,1.0
