time_s,position_x_m,position_y_m,position_z_m,position_ref_x_m,position_ref_y_m,position_ref_z_m,position_error_norm_m
39.12,9.86528529355984,9.10714592951628,15.486464119135086,10.0,9.119999999999997,15.0,0.5049362518824864
39.13,9.866540734318574,9.11573186153874,15.486347088000597,10.0,9.130000000000003,15.0,0.5045279431092354
39.14,9.86779666891206,9.12431713066643,15.486230872751209,10.0,9.14,15.0,0.504127101788511
39.15,9.869053040613082,9.13290179562531,15.486113417709008,10.0,9.149999999999999,15.0,0.5037317834346474
39.160000000000004,9.870309794658047,9.141485924615868,15.485996790176278,10.0,9.160000000000004,15.0,0.5033440179545327
39.17,9.87156687499261,9.15006957560494,15.485878934533982,10.0,9.170000000000002,15.0,0.5029618558495356
39.18,9.872824227055924,9.158652816569331,15.485761917922755,10.0,9.18,15.0,0.5025873261119296
39.19,9.874081795470165,9.167235704712295,15.485643684784954,10.0,9.189999999999998,15.0,0.5022184743151835
39.2,9.875339525884831,9.175818307778245,15.485526302096751,10.0,9.200000000000003,15.0,0.501857328404271
39.21,9.876597363602123,9.184400682202611,15.485407714364376,10.0,9.21,15.0,0.5015019291150196
39.22,9.877855254489408,9.192982895488909,15.485289988396733,10.0,9.219999999999999,15.0,0.5011543032142017
39.230000000000004,9.87911314453224,9.201565003300672,15.48517106876646,10.0,9.230000000000004,15.0,0.5008124866955329
39.24,9.880370979823265,9.210147072892106,15.48505302211245,10.0,9.240000000000002,15.0,0.5004785050187223
39.25,9.881628707034597,9.218729159150959,15.484933793076259,10.0,9.25,15.0,0.5001503895360224
39.26,9.882886272491472,9.227311329073869,15.484815448123989,10.0,9.259999999999998,15.0,0.49983016427334853
39.27,9.884143623555603,9.235893636769061,15.484695931968663,10.0,9.270000000000003,15.0,0.49951585604727006
39.28,9.885400706792023,9.244476148967395,15.484577310900907,10.0,9.280000000000001,15.0,0.4992094873256202
39.29,9.886657470254955,9.253058918994022,15.484457529707715,10.0,9.29,15.0,0.4989090805000428
39.300000000000004,9.887913860756333,9.261642013305991,15.484338654501553,10.0,9.300000000000004,15.0,0.49861665635851277
39.31,9.889169827045638,9.270225484441868,15.484218630145941,10.0,9.310000000000002,15.0,0.4983302329835003
39.32,9.890425316188724,9.278809398576863,15.484099522572524,10.0,9.32,15.0,0.4980518293640603
39.33,9.891680277632943,9.28739380745974,15.48397927672388,10.0,9.329999999999998,15.0,0.49777945939404195
39.34,9.892934658704968,9.295978776975986,15.483859958348207,10.0,9.340000000000003,15.0,0.4975151401473933
39.35,9.894188409552509,9.304564358081338,15.483739512469672,10.0,9.350000000000001,15.0,0.49725688145463054
39.36,9.895441477769856,9.31315061636375,15.483620004650449,10.0,9.36,15.0,0.4970066983614491
39.37,9.89669381420742,9.32173760198295,15.483499379998836,10.0,9.369999999999997,15.0,0.4967625967649193
39.38,9.897945366733822,9.330325380221591,15.4833797038884,10.0,9.380000000000003,15.0,0.4965265895724623
39.39,9.89919608690438,9.33891400044048,15.483258921514098,10.0,9.39,15.0,0.4962966788820511
39.4,9.900445922868641,9.347503527609344,15.483139098058377,10.0,9.399999999999999,15.0,0.4960748753561313
39.410000000000004,9.90169482688892,9.356094010287327,15.48301817880539,10.0,9.410000000000004,15.0,0.49585917743224
39.42,9.9029427474022,9.364685513123687,15.48289822874393,10.0,9.420000000000002,15.0,0.49565159342450144
39.43,9.904189637379732,9.373278083873258,15.48277719324987,10.0,9.43,15.0,0.49545011825282537
39.44,9.905435445552328,9.381871786857374,15.482657137115913,10.0,9.439999999999998,15.0,0.49525675778324335
39.45,9.906680125602017,9.390466669024127,15.482536005812152,10.0,9.450000000000003,15.0,0.49506950356478613
39.46,9.907923626559764,9.399062794359537,15.482415863932733,10.0,9.46,15.0,0.49489035891916405
39.47,9.909165902820048,9.40766020900262,15.482294657044486,10.0,9.469999999999999,15.0,0.49471731217509685
39.480000000000004,9.910406903720192,9.416258976596877,15.482174449540599,10.0,9.480000000000004,15.0,0.4945523640174624
39.49,9.91164658436872,9.424859142470043,15.482053187087137,10.0,9.490000000000002,15.0,0.49439349970880375
39.5,9.912884894415422,9.433460769915948,15.481932933873948,10.0,9.5,15.0,0.49424271720839885
39.51,9.914121789684305,9.442063903449057,15.481811635668791,10.0,9.509999999999998,15.0,0.4940979988701039
39.52,9.915357220143656,9.450668606006522,15.481691356455835,10.0,9.520000000000003,15.0,0.4939613398426554
39.53,9.91659114233429,9.45927492128761,15.481570042107016,10.0,9.530000000000001,15.0,0.4938307197318994
39.54,9.917823506548906,9.467882911865908,15.481449756398497,10.0,9.54,15.0,0.49370813079493653
39.550000000000004,9.919054270046342,9.476492620623835,15.48132844530882,10.0,9.550000000000004,15.0,0.49359155005316774
39.56,9.920283383449528,9.485104109764622,15.48120817240387,10.0,9.560000000000002,15.0,0.49348296679488074
39.57,9.921510804736416,9.493717421352242,15.481086883771228,10.0,9.57,15.0,0.4933803556233138
39.58,9.922736484918572,9.502332617172218,15.480966643230593,10.0,9.579999999999998,15.0,0.49328570323754506
39.59,9.923960382591686,9.510949738596716,15.480845395980918,10.0,9.590000000000003,15.0,0.49319698101222853
