time_s,uav1_tracking_error_m,uav2_tracking_error_m,uav3_tracking_error_m,minimum_pair_distance_m,formation_distance_error_m,clearance_lower_bound_m,uav1_x_m,uav1_y_m,uav1_z_m,uav2_x_m,uav2_y_m,uav2_z_m,uav3_x_m,uav3_y_m,uav3_z_m,uav1_ref_x_m,uav1_ref_y_m,uav1_ref_z_m,uav2_ref_x_m,uav2_ref_y_m,uav2_ref_z_m,uav3_ref_x_m,uav3_ref_y_m,uav3_ref_z_m
149.0,0.0793976266571913,0.023025653637003003,0.04690469682164769,3.4568274537679033,0.03782583528216232,0.3672387628668087,13.638442253638077,9.95883989945433,2.3236225564160646,-1.3075324052586508,-4.210633175208746,2.459864591935202,-3.6778927724114885,-6.72670976349163,2.4397058010659625,13.695201932969098,10.014358458718926,2.323729786160306,-1.2921506978469064,-4.1934989262270905,2.4598283380338577,-3.6565203390672516,-6.684957449487585,2.439823920431058
150.0,0.10801484751185308,0.01613659102113669,0.0549290341635779,4.030775902805599,0.061375316478668854,0.3386215420121469,13.869380638554858,10.17967908226888,2.311018773198431,-0.8152576320847968,-3.696626640715192,2.463875185612221,-3.5910254337226863,-6.61923986482799,2.439391879674279,13.946896553596137,10.254901540187106,2.311287144327463,-0.8046397945954151,-3.6844755067611796,2.4638429293856574,-3.557354477003402,-6.57584096460434,2.439422328471246
151.0,0.10456479546867982,0.008714559862501326,0.05593480385988586,4.508097311455738,0.06395045671810498,0.34207159405532017,14.276690858097172,10.569044195880986,2.2908967950110686,-0.3060540559572707,-3.1649452214196874,2.468020060751377,-3.4207335023962586,-6.423910400611897,2.438706645773561,14.351763170893594,10.641830205828471,2.2912723728692694,-0.3005754674524561,-3.158168206305315,2.467993836114107,-3.3823244218602238,-6.3832478285325,2.438713509313039
152.0,0.0820294175210854,0.001212889616608906,0.056971155999200725,4.872842596884531,0.05407799407734348,0.3646069720029146,14.83087887522322,11.098697004317124,2.264254992038431,0.20876127625106058,-2.6274126794018375,2.472208002367341,-3.1648264009877876,-6.14342004511582,2.4376629268920964,14.889667953819252,11.155902670703039,2.264680797183452,0.20890266537975455,-2.6262082037952252,2.4721893248557083,-3.1262591798012354,-6.1014881732161985,2.4376765219843555
153.0,0.048670979903816594,0.0068143007046588145,0.05374970817867522,5.109371240554188,0.04026583193255047,0.3921179138663248,15.483522884833677,11.722419541044086,2.233172068606287,0.7176877864627195,-2.096029831356218,2.476346371872699,-2.827980618370296,-5.7746582930952215,2.436312920174584,15.518190714313237,11.756578208406086,2.2336094791984538,0.7124732029219345,-2.1004164825180185,2.4763361652885165,-2.792522528015154,-5.734263308109356,2.436324988772598
154.0,0.009122127482077377,0.014306533694718595,0.04490385275839407,5.215429340328153,0.039374451609739694,0.40096376928660593,16.175248519163162,12.383499450074957,2.2004156134891333,1.2094242028257616,-1.5825942645896045,2.480344188270888,-2.4209029897239644,-5.326835733863399,2.434698829687644,16.181302696157605,12.390310463286793,2.2008282268037824,1.1990131558224366,-1.5924068587733835,2.48034276098554,-2.391447345594135,-5.292942946758492,2.434700754734913
155.0,0.03181962302516466,0.02132505762174664,0.03221099504206383,5.200683568153114,0.04261454560689959,0.4136566270029362,16.841547694995178,13.020287432345434,2.169001041294739,1.6732477122447131,-1.0983028350845665,2.484115225512323,-1.9598818907318645,-4.819170070050311,2.432871847487153,16.818044363835927,12.998840762666894,2.169350603280361,1.6579781407619647,-1.1131890105347777,2.4841222802681413,-1.938769944411997,-4.7948424333855115,2.432867547208453
156.0,0.0682904313015421,0.027597599579556677,0.017413440754000902,5.081841778808027,0.05708045450878381,0.37834595822245787,17.421071023084654,13.574146844601165,2.1417713338020743,2.099392412280932,-0.6533529180098159,2.4875811247699637,-1.4652671490915607,-4.2748313730829715,2.4309077112911286,17.37120319139287,13.527491429059321,2.1420049367308756,2.079782574858288,-0.6727715061106094,2.4875957870594356,-1.4540644000024625,-4.261499969470515,2.4309046353206316
157.0,0.09455291505005214,0.03286625753445974,0.0017086223017777015,4.8802801477296,0.06403795896972811,0.35208347447394783,17.86484009708183,13.998267390635986,2.1209584716409147,2.4794347736890807,-0.2565398483146165,2.490674456827998,-0.9596882560790575,-3.7185841397860795,2.4288971929526295,17.79599145129375,13.933459092386842,2.1210053295101265,2.456179870070943,-0.2797648328054425,2.490695371737693,-0.9591768824373901,-3.7169538403345923,2.4289004894993864
158.0,0.10497846286899996,0.036869452224980115,0.014410510036855088,4.620791272294631,0.06037941606198238,0.341657926655,18.145103937849946,14.266125629654836,2.107733849907633,2.8066667577830193,0.08513262842381153,2.4933418655115385,-0.46643510570101027,-3.1758651126409854,2.426934741331266,18.06872400328416,14.194108002200714,2.107522667655377,2.7806426276059497,0.05901557441881966,2.493367281989738,-0.47665998720500236,-3.18601964172262,2.426946440983436
159.0,0.09399818794630618,0.03935552782098084,0.029369771681109665,4.33002561359441,0.04310367693737908,0.35263820157769377,18.26393372875953,14.379696964445248,2.1017616363544835,3.0764866328147398,0.3668593535773814,2.4955470675421227,-0.007919632190599653,-2.671330671476543,2.4251114342142857,18.19549608324951,14.315263339899335,2.101255630316702,3.048742832320512,0.33894630428173045,2.4955750536643495,-0.02820706608813328,-2.692567506386072,2.425130341332542
160.0,0.05597068258726943,0.040058752958532236,0.04223769904576662,4.034635796989342,0.010627438613554455,0.39066570693673053,18.26180230050256,14.37766173498693,2.10075172691205,3.2867621801301006,0.5864141027876681,2.4972740969994613,0.3958524089426574,-2.227033132673263,2.4235085055761574,18.2208610920746,14.339504530946861,2.100001699187339,3.2585320471277512,0.557992940523139,2.4973026416256623,0.3669134419575606,-2.257799330665798,2.423530221937767
161.0,0.05892856287543007,0.03872314090829589,0.051903301690118725,3.7594397703379996,0.0726231958333597,0.3877078266485699,18.239592442586705,14.34975785812349,2.1054939630699825,3.438227602496381,0.7445636085641438,2.4985302512836087,0.7288631976177488,-1.8606051229171618,2.422190295246361,18.291253270852454,14.3780869919819,2.106586904190335,3.410921607401388,0.7171070332419571,2.498557550606567,0.6934236799253419,-1.8985260010748473,2.4222079535317325
162.0,0.2294947741317864,0.03509141539602102,0.057277677671805374,3.525634337395223,0.18728998859251594,0.21714161539221358,18.521177811558875,14.499787137337922,2.1453181936555032,3.5348561865828416,0.8454564261998976,2.4993492590237754,0.9806562128450852,-1.5835458851376472,2.4211971848660014,18.72060882588928,14.6133343768679,2.1467832097193984,3.510062815380465,0.8206230702349959,2.499373966062109,0.9416020418791708,-1.625444620881252,2.421202905698882
163.0,0.18219021093960464,0.0289059557570653,0.05727326665979866,3.349050404780971,0.15662434690457708,0.26444617858439534,19.30792930589931,14.933038260285155,2.219327283219661,3.584240891878262,0.8970206042780235,2.4997943689533444,1.1478992823112442,-1.3995195552242212,2.42053863698786,19.466800408787797,15.022178786685227,2.2166417325626204,3.5637271345740613,0.8766554483357645,2.499815885022891,1.108848842075492,-1.4414157366908151,2.420525606385739
164.0,0.04937025125967872,0.019909779451601127,0.05079499011425175,3.238416778895868,0.02049283238900257,0.39507263193074826,20.24826571874744,15.449894008983769,2.289974334956322,3.597974693102453,0.9113606238492752,2.499961427146852,1.235944236816096,-1.3026383089184481,2.4201862235223164,20.204936894331556,15.426609743443708,2.2857461364698235,3.5836863841660174,0.897495444753301,2.499980246948472,1.2012519840849354,-1.3397405650299676,2.420151401411163
165.0,0.24331735633367899,0.007809257726113576,0.03674895873818792,3.1936144297990348,0.15330528090998596,0.203319033190321,20.829904657323535,15.768810088000556,2.325047991054016,3.5920310337062302,0.9051548973682398,2.499981645542706,1.2603962916236724,-1.2757316512094816,2.420066578334007,20.616424436517214,15.652067099420018,2.3242696370349423,3.5861541203718508,0.9000123086390905,2.499994951777491,1.2351526299141797,-1.3024382189284704,2.4200141139766154
166.0,0.20569939097908366,0.029610384732696417,0.013898897637997096,3.2127452088140545,0.15128756920390676,0.24093699854491632,20.858951290059434,15.784657590547102,2.327715850052228,3.5987838338635942,0.9006140173995884,2.497392254225547,1.2486788650911345,-1.2886226959412816,2.4200551643583688,20.67839704885389,15.686130942078757,2.329930567517467,3.627602262133964,0.9074029413739498,2.4969637833231486,1.2387590249083742,-1.29835786897649,2.4200048426476797
167.0,0.1431973930797418,0.08844037857171848,0.03267512436710729,3.3345782036046887,0.07474459248410761,0.3034389964442582,20.75561760290288,15.737813112153034,2.3116887559630532,3.737624618376638,0.9251655279041592,2.4826430490325913,1.2437226925626799,-1.2875310813703127,2.4206858405564144,20.87272674227575,15.820218253126258,2.312268067074085,3.824352430353192,0.942485533065896,2.482575130950853,1.2584971904729274,-1.2583871904229882,2.42079347120482
