t,phase,uav_a,uav_b,distance_m
13.707,takeoff,2,3,1.4661011108908708
13.741,takeoff,2,3,1.4662815812508714
13.775,takeoff,2,3,1.466620640419015
13.809,takeoff,2,3,1.4671517612325915
13.843,takeoff,2,3,1.467887901947723
13.877,takeoff,2,3,1.468825597210184
13.911,takeoff,2,3,1.4699464947778684
13.945,takeoff,2,3,1.471221040522986
13.979,takeoff,2,3,1.472615293250776
14.013,takeoff,2,3,1.474092908033474
14.047,takeoff,2,3,1.4756164135074277
14.081,takeoff,2,3,1.4771506321305523
14.115,takeoff,2,3,1.4786644142505945
14.149,takeoff,2,3,1.4801344411598854
14.183,takeoff,2,3,1.481547617461827
14.217,takeoff,2,3,1.4829006816793286
14.251,takeoff,2,3,1.4841955774469622
14.285,takeoff,2,3,1.4854412674198099
14.319,takeoff,2,3,1.4866550695635568
14.353,takeoff,2,3,1.4878604756459222
14.387,takeoff,2,3,1.4890818527480751
14.422,takeoff,2,3,1.4903757963392013
14.457,takeoff,2,3,1.4917238237768897
14.491,takeoff,2,3,1.4930965901074507
14.525,takeoff,2,3,1.4945367577170259
14.559,takeoff,2,3,1.496048475160532
14.593,takeoff,2,3,1.4976286581648284
14.627,takeoff,2,3,1.4992694089938867
14.661,takeoff,2,3,1.5009392365091003
14.695,takeoff,2,3,1.5023835237229952
14.729,takeoff,2,3,1.5033662984681861
14.763,takeoff,2,3,1.503817494870712
14.797,takeoff,2,3,1.5037347783961796
14.831,takeoff,2,3,1.5031473399050945
14.865,takeoff,2,3,1.5021068037585894
14.899000000000001,takeoff,2,3,1.5006776299885474
14.933,takeoff,2,3,1.4989372823644498
14.967,takeoff,2,3,1.4969818776365709
15.001,takeoff,2,3,1.4949085228934473
15.035,takeoff,2,3,1.49280786431239
15.069,takeoff,2,3,1.4907685954934706
15.103,takeoff,2,3,1.488867684001573
15.137,takeoff,2,3,1.4871205481601206
15.171,takeoff,2,3,1.4857126438684993
15.205,takeoff,2,3,1.4845303190313797
15.248,takeoff,2,3,1.4835598300359363
15.287,takeoff,2,3,1.4828800484004159
15.321,takeoff,2,3,1.4824488349726905
15.355,takeoff,2,3,1.4822798065692384
15.389,takeoff,2,3,1.4822275409922787
15.424,takeoff,2,3,1.4822480455815952
15.458,takeoff,2,3,1.4822846104521301
15.492,takeoff,2,3,1.4822940495921542
15.526,takeoff,2,3,1.4822424448133116
