time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,eta_hat1,eta_hat2,eta_hat3,eta_hat4,fault_index
12.94,0.027884687613841504,0.027856209571700333,14.92393872646869,0.0,0.0,14.899999999999999,-0.004659057523215611,0.0046384485330160635,0.04933311654473445,14.380506297287537,-15.053003843605241,14.379908858476016,-13.87449500708688,1.0,0.8950993141879433,1.0,1.0,2.0
12.950000000000001,0.02770277484739186,0.027672209075002584,14.940357216365623,0.0,0.0,14.916666666666668,-0.00466872903405303,0.004648241492423763,0.04935523302466232,14.380968413382693,-15.052718456909567,14.380422696683848,-13.874238051936477,1.0,0.8952363339049588,1.0,1.0,2.0
12.96,0.027526954654151132,0.027494328900725055,14.956776825094403,0.0,0.0,14.933333333333334,-0.004677351111921037,0.0046566139625581395,0.04937707045493024,14.381422380570713,-15.052427675310986,14.38094063362628,-13.873977110027804,1.0,0.8953744113735098,1.0,1.0,2.0
12.97,0.02735499673063128,0.027320329132063875,14.973197176977719,0.0,0.0,14.950000000000001,-0.004685232343626811,0.004664166355918441,0.04939873026349394,14.381877262525288,-15.052133067459842,14.38145494848077,-13.873714517601861,1.0,0.895513096950116,1.0,1.0,2.0
12.98,0.027189695616031528,0.027153017430417,14.989618809723872,0.0,0.0,14.966666666666669,-0.0046918365224860314,0.004670305475208994,0.04942008385156559,14.382333737687441,-15.051831705808404,14.381963003355475,-13.873449080746864,1.0,0.8956528306304073,1.0,1.0,2.0
12.99,0.027024658056369846,0.02698597056117448,15.006040494589243,0.0,0.0,14.983333333333334,-0.0046983877500063964,0.004676391498507199,0.04944142533109219,14.382790371270525,-15.051530302645496,14.382470709195687,-13.873183546166146,1.0,0.8957926031878581,1.0,1.0,2.0
13.0,0.02686479464910335,0.02682412292374797,15.02246320266738,0.0,0.0,15.0,-0.004703896957421839,0.004681437762004868,0.049462528196502493,14.383250367151106,-15.051223756834196,14.382971304241709,-13.872916088274662,1.0,0.8959331389878796,1.0,1.0,2.0
13.01,0.026706692045849297,0.026664044296546136,15.038876558625384,0.0,0.0,15.0,-0.004708635493921818,0.004685744350399437,0.04948110166409311,13.465170861825502,-14.076944678935448,13.464923387147772,-12.95416815639535,1.0,0.8960739606716414,1.0,1.0,2.0
13.02,0.02655268087646198,0.026508076641160176,15.055182653565975,0.0,0.0,15.0,-0.00470785952860301,0.0046852682646184,0.04949121680244455,12.640715736528076,-13.201624301078969,12.640426324300503,-12.129530132333187,1.0,0.8962154518703468,1.0,1.0,2.0
13.030000000000001,0.026402218261712105,0.026355673898113538,15.071266113518437,0.0,0.0,15.0,-0.004697193436792855,0.0046762572914220415,0.049494454538883154,11.905404899217622,-12.420102465974187,11.904962227850104,-11.394826146009231,1.0,0.8963575876164974,1.0,1.0,2.0
13.040000000000001,0.02625487737727069,0.026206406044405172,15.087037370344813,0.0,0.0,15.0,-0.004674035332198693,0.004656293278370292,0.04949177466104881,11.253981360149435,-11.726673881446834,11.253282082117403,-10.744896775713864,1.0,0.896500343861394,1.0,1.0,2.0
13.05,0.02611030497194444,0.02605991650971683,15.102423566190463,0.0,0.0,15.0,-0.004637045102183773,0.004623878534032669,0.04948390765440938,10.680975776057524,-11.115559443123994,10.679951100325443,-10.174258995862868,1.0,0.8966436977282165,1.0,1.0,2.0
13.06,0.025968202972006672,0.025915903920461437,15.11736448069587,0.0,0.0,15.0,-0.004585801654659153,0.004578208231692629,0.04947149996033148,10.180941123410447,-10.581082537773023,10.179567659997725,-9.677391446688484,1.0,0.8967876276470117,1.0,1.0,2.0
13.07,0.025828317823182883,0.025774111617000446,15.131810112703961,0.0,0.0,15.0,-0.004520542716742995,0.004519018821297654,0.049455145445033794,9.748541671472815,-10.117720003266045,9.746840896689282,-9.248852458151735,1.0,0.8969321133298138,1.0,1.0,2.0
13.08,0.025690434089230618,0.025634321412441197,15.145719182220649,0.0,0.0,15.0,-0.004441958996278938,0.004446476076679082,0.04943539358768114,9.378625985792711,-9.720152026177217,9.376656223453777,-8.88337133314448,1.0,0.8970771358043943,1.0,1.0,2.0
13.09,0.0255543708059794,0.02549635007014991,15.159058196169147,0.0,0.0,15.0,-0.004351019681561726,0.004361075931080173,0.0494127473780337,9.066328597528427,-9.383352275274659,9.064173090651975,-8.575962679897716,1.0,0.8972226775900503,1.0,1.0,2.0
13.1,0.025419979885502125,0.025360047771776684,15.171800845023458,0.0,0.0,15.0,-0.004248808814256699,0.004263530882469473,0.04938765272727473,8.807230520663513,-9.102747303225934,8.80498514113767,-8.322096678520882,1.0,0.8973687230935288,1.0,1.0,2.0
13.11,0.025287126327427856,0.025225278130176755,15.183924301535017,0.0,0.0,15.0,-0.004136563709571871,0.004154787648125418,0.04936054693720302,8.59690657325011,-8.873748017166854,8.59466998836632,-8.117237602905579,1.0,0.8975152568968504,1.0,1.0,2.0
13.120000000000001,0.02515569804196421,0.02509192816921971,15.195411000479124,0.0,0.0,15.0,-0.004015558554744341,0.004035958815477243,0.04933182473779864,8.431276227376781,-8.692110703003218,8.429139623924977,-7.95720475702449,1.0,0.8976622649277993,1.0,1.0,2.0
13.13,0.025025600417670806,0.024959902807626114,15.206247487014126,0.0,0.0,15.0,-0.00388706802393363,0.0039082739227496435,0.04930184466224739,8.306564961637662,-8.553900007927789,8.304604934752685,-7.838133075192406,1.0,0.8978097342326276,1.0,1.0,2.0
13.14,0.02489675313473576,0.02482912162686866,15.216423856628582,0.0,0.0,15.0,-0.003752363055928851,0.003773066863004509,0.04927093363414193,8.21926732057598,-8.455453034750013,8.217540818873948,-7.7564350193767115,1.0,0.8979576527914691,1.0,1.0,2.0
13.15,0.02476908854877593,0.024699517219642156,15.225933483109328,0.0,0.0,15.0,-0.003612703581809766,0.003631758481020925,0.04923938757488834,8.16614792354919,-8.39338266422626,8.164689115143773,-7.7088012690862495,1.0,0.8981060094781314,1.0,1.0,2.0
13.16,0.02464254918185111,0.024571032612019195,15.234772579619628,0.0,0.0,15.0,-0.003469339066583892,0.003485834895062992,0.04920747390286775,8.144223989241452,-8.3645625786726,8.143043627503225,-7.69218227234588,1.0,0.8982547939526682,1.0,1.0,2.0
13.17,0.024517083862986098,0.02444361728737122,15.242939253670533,0.0,0.0,15.0,-0.0033235158332277554,0.0033368172911707175,0.049175440078772295,8.150689346602745,-8.366050715946411,8.149775703193173,-7.703709908470644,1.0,0.8984039964033439,1.0,1.0,2.0
13.18,0.024392647999250158,0.024317227440976148,15.250433723333238,0.0,0.0,15.0,-0.003176483209993252,0.0031862569245202713,0.049143511056854695,8.182937311286787,-8.39511420095192,8.182258464125924,-7.74072101253144,1.0,0.8985536075990425,1.0,1.0,2.0
13.19,0.024269204206684162,0.024191826599290134,15.257258596346881,0.0,0.0,15.0,-0.0030294998425082695,0.0030357304915379292,0.04911188652604177,8.23858448180021,-8.449254660557001,8.238091696844176,-7.800782104861824,1.0,0.8987036189531168,1.0,1.0,2.0
13.200000000000001,0.024146720053283666,0.024067383266788648,15.263418349937309,0.0,0.0,15.0,-0.0028838428457441394,0.0028868146397355433,0.04908074590209397,8.315423937653362,-8.526160948721872,8.315056393919095,-7.881641628281701,1.0,0.8988540223656913,1.0,1.0,2.0
13.21,0.024025167302280652,0.023943870107360436,15.268919183093907,0.0,0.0,15.0,-0.0027408143024801363,0.002741068152950228,0.049050249869493474,8.411409110715814,-8.623692860852113,8.411099541435151,-7.981213897544594,1.0,0.8990048101682065,1.0,1.0,2.0
13.22,0.02390452102892768,0.02382126298974748,15.273768822336278,0.0,0.0,15.0,-0.002601747496771227,0.0026000109011041386,0.04902054245722717,8.524632739675106,-8.739859655640995,8.524313929246803,-8.097558061161893,1.0,0.8991559750533468,1.0,1.0,2.0
13.23,0.023784758844648875,0.02369954014129073,15.277976333102446,0.0,0.0,15.0,-0.0024680117482338867,0.0024651012616118103,0.048991753150941134,8.65330527101961,-8.872797729029694,8.652917216078242,-8.228856575763983,1.0,0.8993075100055158,1.0,1.0,2.0
13.24,0.023665861533162393,0.023578682774530606,15.28155221215523,0.0,0.0,15.0,-0.002341008214779862,0.0023377255618971713,0.04896399639871181,8.795757465062271,-9.020772114643586,8.79525397468966,-8.373418395386087,1.0,0.8994594083164612,1.0,1.0,2.0
13.25,0.02354781288046445,0.023458674915475545,15.284508281554075,0.0,0.0,15.0,-0.002222163254377456,0.002219183223832302,0.04893737281403641,8.950428373867506,-9.182163362125406,8.949783188115989,-8.52966677881678,1.0,0.8996116635456417,1.0,1.0,2.0
13.26,0.023430599706865937,0.023339503434920736,15.286857629239615,0.0,0.0,15.0,-0.002112922092573755,0.0021106728968609493,0.04891197006735978,9.115856093743806,-9.355457036149973,9.115068438496312,-8.696130097636562,1.0,0.8997642694922727,1.0,1.0,2.0
13.27,0.023314212202627922,0.023221158466248556,15.288614539410215,0.0,0.0,15.0,-0.00201472784762641,0.0020132845700816943,0.0488878636769718,9.29067057965105,-9.539234588442406,9.289768797104063,-8.871434115902606,1.0,0.8999172201707403,1.0,1.0,2.0
13.280000000000001,0.023198644093606616,0.023103633712717585,15.289794367767337,0.0,0.0,15.0,-0.0019289933926195737,0.0019279950685123135,0.04886511835162133,9.473582446822896,-9.732159808371419,9.472625272535083,-9.054289992008588,1.0,0.9000705097683479,1.0,1.0,2.0
