time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,battery_voltage,voltage_margin,battery_low_active,esc_saturation_ratio,flight_mode,active_setpoint_source,safety_status,event_code,system_supervisor_keepalive
0.2,0.05272372362096058,0.07615788830402757,-3.812132661536558e-05,0.0,0.0,0.4,-1.4548629494005942,-0.5074518051205612,0.5932564195110249,112.63007211368193,-94.6478420059504,59.87935285126834,-112.2974989802849,15.200000000000001,0.4285714285714288,0.0,0.75,3.0,30.0,0.0,30.0,0.031
0.21,0.059275853060517386,0.08447347901309785,-4.416031378809592e-05,0.0,0.0,0.42000000000000004,0.327467244137125,0.37157196334833825,1.6425317698556658,67.77588418142197,-88.75707617908637,121.63323088741006,-105.30010570984636,15.120000000000001,0.40000000000000024,0.0,0.5,3.0,30.0,0.0,30.0,0.031
0.22,0.06620986147026746,0.09336721209033802,-4.7897614123156685e-05,0.0,0.0,0.44000000000000006,0.3048872862317186,2.256793928809561,2.615328854928101,115.82364739252912,-113.05524028620059,84.4950433417665,-73.98346810021509,15.040000000000001,0.37142857142857166,0.0,0.5,3.0,30.0,0.0,30.0,0.031
0.23,0.07349135129433068,0.10277735642843146,-5.029869716295358e-05,0.0,0.0,0.4600000000000001,-1.3705446947174713,-0.45832490049635033,-0.03958572163046694,130.15917037669055,-86.43607264522318,73.93577567455215,-86.43607264522318,14.96,0.3428571428571431,0.0,0.25,3.0,30.0,0.0,30.0,0.031
0.24,0.08132668187354998,0.11260954282488299,-5.5371268610736324e-05,0.0,0.0,0.48,0.3426555925165953,0.3935256468368791,0.9399297011450478,86.95059707308602,-87.22568073194407,130.15917037669055,-89.13543299549619,14.88,0.3142857142857145,0.0,0.25,3.0,30.0,0.0,30.0,0.031
0.25,0.08958697877659767,0.12300211822487095,-5.9571106672864094e-05,0.0,0.0,0.5,0.27391485981428537,2.3332727692323076,1.9614759547476392,124.84567725503504,-109.58487259002115,99.06597961226592,-64.96419399604218,14.8,0.2857142857142859,0.0,0.75,3.0,30.0,0.0,30.0,0.031
0.26,0.09818012852950372,0.1338883733661334,-6.188475588011264e-05,0.0,0.0,0.52,-1.2394063562598787,-0.5392745721573051,-0.6169425253280094,130.15917037669055,-80.67516116408117,92.33606824048232,-90.87586067415987,14.72,0.2571428571428573,0.0,0.5,3.0,30.0,0.0,30.0,0.031
0.27,0.1073313779934424,0.1451502612386305,-6.719732740861808e-05,0.0,0.0,0.54,0.4540367021739778,0.5299913676417805,0.2663039773903244,89.46510259367173,-86.18681912984295,130.15917037669055,-95.29007117448049,14.64,0.2285714285714287,0.0,0.5,3.0,30.0,0.0,30.0,0.031
0.28,0.116921224838455,0.15696188429970245,-7.056869614135774e-05,0.0,0.0,0.56,0.4347497069434917,2.402051946540134,1.2107971888531397,128.82694751745697,-110.85465093363314,98.4362382808655,-70.84498393347651,14.56,0.20000000000000012,0.0,0.75,3.0,30.0,0.0,30.0,0.031
0.29,0.12698953861216444,0.16929964047716364,-7.36505068878792e-05,0.0,0.0,0.58,-1.1740453593976798,-0.4888978643324692,-1.263546538746604,130.15917037669055,-96.2025152437543,86.45118592789375,-88.18182793888842,14.48,0.17142857142857154,0.0,0.5,3.0,30.0,0.0,30.0,0.031
0.3,0.13760985562557715,0.18209443578779333,-7.831411984571873e-05,0.0,0.0,0.6,0.4900936441815505,0.547439677690305,-0.4446945248992733,91.64708455346647,-100.38790949551658,126.7566873771112,-96.96020214207473,14.4,0.14285714285714296,0.0,0.75,3.0,30.0,0.0,30.0,0.031
0.31,0.1486800017305005,0.19542442496901513,-8.20170231987415e-05,0.0,0.0,0.62,0.4151564886232329,2.503158588064234,0.5616979900784971,122.35617583620089,-122.3956939241468,97.41013906942447,-76.9413544541751,14.32,0.11428571428571435,0.0,0.75,3.0,30.0,0.0,30.0,0.031
0.32,0.1601650037939183,0.2092104453558125,-8.482332696578421e-05,0.0,0.0,0.64,-1.01004102632906,-0.5303504596790188,-1.8067758571720545,118.39258226072354,-104.6498125174389,99.5067094391598,-99.88416601805525,14.24,0.08571428571428577,1.0,1.0,6.0,30.0,0.0,61.0,0.031
0.33,0.1722095915129096,0.22340688868289513,-8.937362531289292e-05,0.0,0.0,0.66,0.5701238452244068,0.6948205372789278,-1.1149386073102467,87.04728702044284,-109.20498919837726,120.8870100488704,-108.60717826861995,14.16,0.057142857142857176,1.0,0.75,6.0,30.0,0.0,61.0,0.031
0.34,0.1847178587822845,0.23814418930758918,-9.229715497447802e-05,0.0,0.0,0.68,0.5471464663929853,2.544988324184607,-0.1676651648004892,119.10828540256969,-130.15917037669055,89.63647789441075,-89.68683504698359,14.08,0.028571428571428588,1.0,0.5,6.0,30.0,0.0,61.0,0.031
0.35000000000000003,0.19768520616484675,0.2532760215787329,-9.454446964660348e-05,0.0,0.0,0.7000000000000001,-0.9822177413194382,-0.4912177823942172,-2.4799626424415804,117.64985801472957,-123.41239025306297,87.76094774535085,-103.51518450377333,14.0,0.0,1.0,0.75,6.0,30.0,0.0,61.0,0.031
