time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,gps_valid,mid360_valid,estimator_quality,estimator_mode,degraded_nav_active,obstacle_avoid_active,flight_mode,active_setpoint_source,safety_status,event_code,system_supervisor_keepalive
0.22,0.07695832050466819,0.10502563667572236,-3.939620560239641e-05,0.0,0.0,0.44000000000000006,0.21270532340101309,2.263560342987281,2.7476077109274217,112.33817128741902,-116.53967335232997,87.54896211936588,-70.928506283635,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.23,0.08643979342819007,0.1162928311954611,-4.5248801538080914e-05,0.0,0.0,0.4600000000000001,-1.3850462306048186,-0.4984343668302386,0.052835145812425044,130.15917037669055,-83.08009100558476,77.2906635423772,-88.98058761896087,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.24,0.09632757407255517,0.12836255806257332,-4.6413359085501254e-05,0.0,0.0,0.48,0.4103906721585811,0.46129494873462323,1.0227577129418886,87.83213130794024,-83.9004398668135,130.15917037669055,-91.03093233307965,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.25,0.10684100116243762,0.14090695603978812,-4.9984714815065925e-05,0.0,0.0,0.5,0.3345690814620018,2.378249706307012,2.0337412889553588,125.8431943714811,-108.58598965258435,99.31446944303089,-64.71433834428646,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.26,0.11810038689903726,0.1541117486158312,-5.602002300537104e-05,0.0,0.0,0.52,-1.2475579483300767,-0.4862045789439168,-0.5261034486762822,130.15917037669055,-84.60304376941599,87.8017315318995,-85.42985488105646,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.27,0.12973814919849522,0.1682090528558865,-5.51947113079413e-05,0.0,0.0,0.54,0.441767933401093,0.5293392415116523,0.3394397084549623,92.46195986606227,-90.8049622099449,130.15917037669055,-89.02501521965155,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.28,0.14216102253099505,0.1827278717943028,-5.93018382022298e-05,0.0,0.0,0.56,0.38072543759743455,2.4421821230955505,1.3305084388259338,126.60686840751151,-113.07306030510054,102.67079919025518,-66.60875328560878,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.29,0.15545220828667003,0.19801586475156485,-6.627971745592786e-05,0.0,0.0,0.58,-1.143644249404359,-0.5114353719373648,-1.1401923570093133,130.15917037669055,-92.95901247763065,96.81579235541531,-89.28021382621671,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.3,0.16902669869789808,0.2143657516169576,-2.6985456981581902e-05,0.0,0.0,0.6,0.4925962850801863,0.6027402642337091,-0.34979368429521135,90.37963695912589,-99.19357459759132,130.15917037669055,-95.77117486752222,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.31,0.18357854544902588,0.23106053804720936,-2.2681387053361074e-06,0.0,0.0,0.62,0.45564518242546015,2.4983020802888456,0.6109618125468724,123.29264242626212,-121.45382790584972,98.77152206120302,-75.57457203416072,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
