time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,eta_hat1,eta_hat2,eta_hat3,eta_hat4,fault_index
13.68,0.0216490097201288,0.021512543306513594,15.09514286523589,0.0,0.0,15.0,-0.005978162311681454,0.005888039715004224,0.04794675887249792,15.286238874912186,-15.991149144233525,15.282273236191436,-14.7011215953579,1.0,0.9074698337745628,1.0,1.0,2.0
13.69,0.021675779441858802,0.02154353137899513,15.089613800311716,0.0,0.0,15.0,-0.005989648254659072,0.005945356598536013,0.04796334980657358,15.312819387128217,-16.017321095885535,15.307829235086047,-14.726808147338485,1.0,0.9076197714533782,1.0,1.0,2.0
13.700000000000001,0.02170915073133842,0.02158116691359976,15.084214820697223,0.0,0.0,15.0,-0.005991962790460697,0.00599020384195617,0.047979829802426634,15.334382711897078,-16.038200421133432,15.328678363619208,-14.747797642869248,1.0,0.9077693979181537,1.0,1.0,2.0
13.71,0.021749190402626378,0.0216254701318957,15.078948957968342,0.0,0.0,15.0,-0.005985354831522624,0.006022813614746315,0.04799616589607749,15.351242300204222,-16.054084306800963,15.345046599143522,-14.764349329862963,1.0,0.9079186816890519,1.0,1.0,2.0
13.72,0.02179595002426716,0.02167644893989188,15.073818603577784,0.0,0.0,15.0,-0.005970392079169886,0.006043501935595313,0.048012328346250785,15.363686017803854,-16.06528677410115,15.357191947553819,-14.776712739198164,1.0,0.9080675908070359,1.0,1.0,2.0
13.73,0.021849459416195535,0.02173410108761656,15.068825511249347,0.0,0.0,15.0,-0.005946979560956021,0.006053144514643982,0.048028286127346026,15.37203646920394,-16.07211780718592,15.365337888942173,-14.785141378029946,1.0,0.9082160928569126,1.0,1.0,2.0
13.74,0.021909739083330486,0.0217984065621754,15.063970837661204,0.0,0.0,15.0,-0.00591577700266593,0.006052242981199476,0.04804401562778139,15.37657891666162,-16.07489340496574,15.369745694785424,-14.789883257457353,1.0,0.9083641550629449,1.0,1.0,2.0
13.75,0.021976789634985238,0.021869335928074447,15.059255174983893,0.0,0.0,15.0,-0.005877182302906344,0.006041691212283106,0.04805949360223141,15.377599598954811,-16.073931510989336,15.370669443905932,-14.791178207650102,1.0,0.9085117443535351,1.0,1.0,2.0
13.76,0.022050601238681973,0.021946846231719785,15.054678608240994,0.0,0.0,15.0,-0.005831719215370719,0.006022151246258008,0.04807470088599777,15.375379101704985,-16.069534357355174,15.368363330910796,-14.789275294078621,1.0,0.9086588274551003,1.0,1.0,2.0
13.77,0.022131150213218872,0.022030882837321526,15.050240732124955,0.0,0.0,15.0,-0.005780219781049944,0.0059942386395324745,0.04808962230999281,15.370167567078106,-16.062004615272635,15.363100935873776,-14.784411930216068,1.0,0.9088053709562397,1.0,1.0,2.0
13.780000000000001,0.022218401240137728,0.022121383887629013,15.045940720294842,0.0,0.0,15.0,-0.005723248620853103,0.0059585296207234776,0.048104243477870144,15.36222582709982,-16.051625693784768,15.355135408141605,-14.77683399996395,1.0,0.908951341391547,1.0,1.0,2.0
13.790000000000001,0.02231230820972012,0.02221827724386834,15.041777340954129,0.0,0.0,15.0,-0.005661623479152891,0.005915406493142938,0.048118553939063106,15.351788695990164,-16.038670282727242,15.344730684178293,-14.766782185368724,1.0,0.9090967053120141,1.0,1.0,2.0
