time_s,position_x_m,position_y_m,position_z_m,position_ref_x_m,position_ref_y_m,position_ref_z_m,position_error_norm_m
43.910000000000004,11.446078228230533,3.6581496841524026,27.043812859557093,10.0,10.0,15.0,13.68808371784785
43.92,11.454131043805386,3.6634675504422805,27.04779915318801,10.0,10.0,15.0,13.689981921551766
43.93,11.462179973897129,3.6687892734882914,27.051781435812124,10.0,10.0,15.0,13.691882095466221
43.94,11.47022501848047,3.6741148532923344,27.05575970744522,10.0,10.0,15.0,13.693784232927076
43.95,11.478266177533214,3.6794442898571833,27.059733968102954,10.0,10.0,15.0,13.695688327282928
43.96,11.486303451036298,3.684777583186369,27.063704217800844,10.0,10.0,15.0,13.69759437189515
43.97,11.494336838973714,3.6901147332840334,27.06767045655424,10.0,10.0,15.0,13.699502360137947
43.980000000000004,11.502366341332454,3.6954557401548027,27.07163268437833,10.0,10.0,15.0,13.701412285398424
43.99,11.510391958102355,3.7008006038036494,27.075590901288113,10.0,10.0,15.0,13.703324141076608
44.0,11.518413689276084,3.7061493242358314,27.079545107298404,10.0,10.0,15.0,13.705237920585505
44.01,11.526431534848905,3.711501901456744,27.0834953024238,10.0,10.0,15.0,13.7071536173511
44.02,11.534445494818566,3.716858335471852,27.087441486678706,10.0,10.0,15.0,13.709071224812426
44.03,11.54245556918506,3.722218626286563,27.091383660077284,10.0,10.0,15.0,13.710990736421541
44.04,11.550461757950535,3.727582773906229,27.095321822633483,10.0,10.0,15.0,13.71291214564356
44.050000000000004,11.558464061119013,3.732950778336001,27.099255974360982,10.0,10.0,15.0,13.714835445956645
44.06,11.566462478696254,3.738322639580833,27.103186115273232,10.0,10.0,15.0,13.71676063085202
44.07,11.574457010689498,3.7436983576454024,27.107112245383398,10.0,10.0,15.0,13.718687693833939
44.08,11.58244765710733,3.749077932534101,27.11103436470439,10.0,10.0,15.0,13.720616628419705
44.09,11.59043441795941,3.7544613642509774,27.114952473248824,10.0,10.0,15.0,13.722547428139626
44.1,11.598417293256311,3.7598486527997355,27.11886657102902,10.0,10.0,15.0,13.724480086537005
44.11,11.606396283009328,3.7652397981837162,27.122776658057006,10.0,10.0,15.0,13.726414597168127
44.12,11.614371387230321,3.7706348004059143,27.126682734344502,10.0,10.0,15.0,13.728350953602217
44.13,11.622342605931468,3.7760336594689305,27.1305847999029,10.0,10.0,15.0,13.730289149421417
44.14,11.630309939125171,3.7814363753750206,27.134482854743265,10.0,10.0,15.0,13.732229178220758
44.15,11.638273386823856,3.786842948126086,27.138376898876338,10.0,10.0,15.0,13.73417103360813
44.160000000000004,11.64623294903987,3.792253377723695,27.14226693231249,10.0,10.0,15.0,13.736114709204228
44.17,11.654188625785318,3.797667664169096,27.146152955061762,10.0,10.0,15.0,13.738060198642556
44.18,11.662140417071983,3.803085807463252,27.150034967133834,10.0,10.0,15.0,13.740007495569369
44.19,11.670088322911196,3.808507807606849,27.15391296853802,10.0,10.0,15.0,13.741956593643655
44.2,11.678032343313745,3.8139336646003184,27.15778695928324,10.0,10.0,15.0,13.743907486537076
44.21,11.685972478289814,3.8193633784438767,27.161656939378062,10.0,10.0,15.0,13.74586016793398
44.22,11.693908727848902,3.8247969491375335,27.165522908830635,10.0,10.0,15.0,13.747814631531325
44.230000000000004,11.701841091999814,3.830234376681152,27.169384867648745,10.0,10.0,15.0,13.749770871038702
44.24,11.709769570750566,3.835675661074432,27.173242815839767,10.0,10.0,15.0,13.751728880178275
44.25,11.71769416410837,3.8411208023169428,27.177096753410666,10.0,10.0,15.0,13.753688652684763
44.26,11.725614872079667,3.846569800408187,27.18094668036801,10.0,10.0,15.0,13.755650182305432
44.27,11.733531694670079,3.852022655347585,27.184792596717948,10.0,10.0,15.0,13.757613462800066
44.28,11.741444631884393,3.8574793671344905,27.188634502466197,10.0,10.0,15.0,13.759578487940932
44.29,11.749353683726616,3.862939935768228,27.19247239761806,10.0,10.0,15.0,13.761545251512807
